"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31"
"SZAXPI003413.4","SZAXPI015245.33","SZAXPI015234.20","SZAXPI015244.32","SZAXPI015235.21","SZAXPI015227.13","SZAXPI015264.87","SZAXPI015253.44","0.0101069149555543","0.0142270929126469","0.016986325403274","0.0171475778119301","0.018147600899403","0.0221815673883829","0.0236372403639256","SZAXPI015216.169","SZAXPI017460.27","SZAXPI003435.11","SZAXPI015225.18","SZAXPI003411.6","SZAXPI015220.136","SZAXPI017593.158","SZAXPI017581.93","0.00378903928269708","0.00389864182230374","0.00867356945573123","0.0105656282011224","0.015783324533828","0.0191590822375392","0.0254623374316726","0.0290161925867368"
"SZAXPI003414.3","SZAXPI015240.26","SZAXPI015272.108","SZAXPI015246.34","SZAXPI015274.111","SZAXPI015266.89","SZAXPI003419.6","SZAXPI003429.3","0.0119883895778307","0.0123520726448319","0.0140184486358922","0.0143727713915022","0.0159367325633142","0.0164552423424921","0.0213560216463809","SZAXPI003434.7","SZAXPI017585.109","SZAXPI015219.129","SZAXPI003431.1","SZAXPI017588.123","SZAXPI017455.21","SZAXPI003416.4","SZAXPI017464.37","0.0044754336664568","0.0063741725616726","0.00912667350178243","0.00989359437489824","0.0154884973996994","0.0183904304816489","0.020222161748854","0.0215463978476019"
"SZAXPI003415.12","SZAXPI015233.19","SZAXPI015242.30","SZAXPI003433.7","SZAXPI015265.88","SZAXPI015255.46","SZAXPI015247.35","SZAXPI015228.14","0.00697914375568033","0.0087919986633524","0.0127272549749058","0.0135916217788634","0.0157252805064317","0.0174339835539504","0.019019391044795","SZAXPI017459.26","SZAXPI017458.25","SZAXPI017587.113","SZAXPI017462.33","SZAXPI003421.5","SZAXPI015222.123","SZAXPI003425.1","SZAXPI017461.32","0.00344835837917696","0.00617223086376663","0.00753567140327291","0.0138473968552958","0.0152916566897269","0.0159836914841925","0.016986401635643","0.0172805132064813"
"SZAXPI003416.4","SZAXPI003429.3","SZAXPI015243.31","SZAXPI015266.89","SZAXPI015272.108","SZAXPI015256.47","SZAXPI015246.34","SZAXPI015240.26","0.00170546491115602","0.0035534786222981","0.00655801850625851","0.00837471622994184","0.0123752604094961","0.0242550778352807","0.0314410391097796","SZAXPI017464.37","SZAXPI015214.19","SZAXPI015219.129","SZAXPI003431.1","SZAXPI017583.102","SZAXPI003418.8","SZAXPI017585.109","SZAXPI017582.94","0.00185536520081565","0.00549638867079775","0.0123002592790794","0.0127230884546768","0.0129920613981299","0.013105246184124","0.0139933167655986","0.0192104248950614"
"SZAXPI003418.8","SZAXPI015256.47","SZAXPI003429.3","SZAXPI015243.31","SZAXPI015266.89","SZAXPI015272.108","SZAXPI015238.24","SZAXPI015246.34","0.00292209697976213","0.0119111809606157","0.0121660490923948","0.0183165212687962","0.0211381133686744","0.0275701538565047","0.0354132912411125","SZAXPI015214.19","SZAXPI017583.102","SZAXPI017582.94","SZAXPI017464.37","SZAXPI003416.4","SZAXPI015219.129","SZAXPI003431.1","SZAXPI017585.109","0.00782266845080262","0.0102465507595523","0.0111085362274602","0.0117927993252914","0.013105246184124","0.0249037384209228","0.0250352033032476","0.0268782084664113"
"SZAXPI003420.4","SZAXPI015230.16","SZAXPI015268.109","SZAXPI017592.142","SZAXPI015241.27","SZAXPI015258.57","SZAXPI015257.56","SZAXPI015250.39","0.00164019779793406","0.00538857886439974","0.0129650555259487","0.0165154260209568","0.0234198331878062","0.0341814518973981","0.0350692350696719","SZAXPI015215.20","SZAXPI017466.84","SZAXPI017580.90","SZAXPI015226.14","SZAXPI015213.15","SZAXPI017589.133","SZAXPI017453.19","SZAXPI003436.7","0.00719256335227999","0.00850630896045594","0.0100808919021712","0.0183213477609991","0.0200387102733689","0.0204906538472224","0.0216603326004872","0.0238476688301388"
"SZAXPI003421.5","SZAXPI015255.46","SZAXPI015247.35","SZAXPI015265.88","SZAXPI015261.75","SZAXPI015242.30","SZAXPI015233.19","SZAXPI003433.7","0.000812237572245228","0.00274273508231337","0.00591611008286103","0.00650082218236271","0.00719393672471523","0.0101284006106604","0.0110846351039135","SZAXPI017462.33","SZAXPI017461.32","SZAXPI003425.1","SZAXPI015211.166","SZAXPI015210.17","SZAXPI017457.24","SZAXPI003423.8","SZAXPI017458.25","0.00168026898663698","0.00345318615528008","0.00481094844788162","0.00531205418582285","0.00707774355793467","0.0084782410021259","0.00942016681037267","0.0107525282053501"
"SZAXPI003422.11","SZAXPI015257.56","SZAXPI015262.79","SZAXPI015251.41","SZAXPI015231.17","SZAXPI015250.39","SZAXPI015252.43","SZAXPI015248.36","0.00231594750641538","0.00460264786383241","0.00655233004492156","0.00832222734322892","0.00859030832740981","0.0097903389646986","0.00982715453976328","SZAXPI003410.3","SZAXPI015224.13","SZAXPI003412.1","SZAXPI003409.8","SZAXPI015217.140","SZAXPI017452.17","SZAXPI017467.87","SZAXPI017456.23","0.00417316092008239","0.00495838145417892","0.00618958958547055","0.00731190528559791","0.00847192609632209","0.00875360095600099","0.0097825769575967","0.0117382701664178"
"SZAXPI003423.8","SZAXPI015261.75","SZAXPI015255.46","SZAXPI015270.90","SZAXPI015247.35","SZAXPI015265.88","SZAXPI003433.7","SZAXPI015242.30","0.00358014917001886","0.00905239574911654","0.00924130746437964","0.00934065207429168","0.0098711044768848","0.0137099581918383","0.0162203610266031","SZAXPI017457.24","SZAXPI003425.1","SZAXPI017461.32","SZAXPI015211.166","SZAXPI003421.5","SZAXPI017462.33","SZAXPI015210.17","SZAXPI017584.108","0.0057558143688641","0.00622456171775381","0.00628284509256524","0.00763053943706637","0.00942016681037267","0.0104847775893736","0.0114092233463747","0.0152301188759023"
"SZAXPI003424.12","SZAXPI015252.43","SZAXPI015231.17","SZAXPI015248.36","SZAXPI015259.62","SZAXPI015251.41","SZAXPI015212.113","SZAXPI015262.79","0.00491470664636647","0.0071204976378965","0.00930378150831222","0.00944759252878262","0.0113374676088775","0.0122046261253391","0.0146280952847195","SZAXPI017594.166","SZAXPI017586.111","SZAXPI003409.8","SZAXPI015221.142","SZAXPI017468.88","SZAXPI017463.36","SZAXPI015224.13","SZAXPI003412.1","0.00420068685593282","0.00680657530674466","0.00754754986992534","0.00885354703065892","0.0105770083408081","0.0121662561748481","0.0125713961506074","0.0145809305849837"
"SZAXPI003425.1","SZAXPI015265.88","SZAXPI015255.46","SZAXPI015261.75","SZAXPI015247.35","SZAXPI003433.7","SZAXPI015242.30","SZAXPI015270.90","0.00399960953285452","0.00464024662206882","0.00508411950667283","0.00639515602211554","0.00868595486265539","0.0104596463362856","0.0132633922879023","SZAXPI017461.32","SZAXPI003421.5","SZAXPI017462.33","SZAXPI003423.8","SZAXPI015211.166","SZAXPI017457.24","SZAXPI015210.17","SZAXPI017458.25","0.00200722835453984","0.00481094844788162","0.00525430933466283","0.00622456171775381","0.00712963113090219","0.00840994087305298","0.0104041064408069","0.0138249414719701"
"SZAXPI003426.11","SZAXPI003417.4","SZAXPI015239.25","SZAXPI015267.102","SZAXPI015260.74","SZAXPI015232.18","SZAXPI015238.24","SZAXPI015256.47","0.0096990874482654","0.0137364806675001","0.0137403721250556","0.0320381060394695","0.0347290831570187","0.0515499581534899","0.07801516284943","SZAXPI017595.169","SZAXPI017590.136","SZAXPI015209.133","SZAXPI003427.1","SZAXPI015237.23","SZAXPI017451.16","SZAXPI017582.94","SZAXPI003432.12","0.00843416730664576","0.0167634747170551","0.0291774951403897","0.0403903205452978","0.0511054805630739","0.0665413437624946","0.0711909574939555","0.0730236990249281"
"SZAXPI003427.1","SZAXPI015232.18","SZAXPI015260.74","SZAXPI015238.24","SZAXPI003417.4","SZAXPI015256.47","SZAXPI015267.102","SZAXPI003429.3","0.00609501910298727","0.011293098910235","0.0116312274820278","0.0376520063883778","0.037989954622463","0.0484157030375196","0.0492632855496053","SZAXPI015209.133","SZAXPI015237.23","SZAXPI017582.94","SZAXPI017595.169","SZAXPI003418.8","SZAXPI017583.102","SZAXPI003426.11","SZAXPI015214.19","0.0113830574950037","0.0139257928101691","0.0322932260493914","0.0362895603668723","0.0379587619152639","0.0393648796888949","0.0403903205452978","0.0448037317136906"
"SZAXPI003428.6","SZAXPI015254.45","SZAXPI015228.14","SZAXPI003419.6","SZAXPI015274.111","SZAXPI015246.34","SZAXPI015240.26","SZAXPI015233.19","0.015926946090799","0.019132464394624","0.0225950715294347","0.0230426448567996","0.0245474468427962","0.025738618918686","0.0285631246935673","SZAXPI017454.20","SZAXPI015222.123","SZAXPI017587.113","SZAXPI017455.21","SZAXPI017588.123","SZAXPI003415.12","SZAXPI017459.26","SZAXPI017458.25","0.0150603379477065","0.0169434701324531","0.0169643014864729","0.0172131070816162","0.0211494017023981","0.0243830238187104","0.0257319155439694","0.0278787407169276"
"SZAXPI003431.1","SZAXPI015272.108","SZAXPI015266.89","SZAXPI015246.34","SZAXPI015243.31","SZAXPI003429.3","SZAXPI015240.26","SZAXPI015274.111","0.00472288167419003","0.00691191799791816","0.0121997544577067","0.0130092495385257","0.0134795993243287","0.0193424343617133","0.0208853012238511","SZAXPI015219.129","SZAXPI017585.109","SZAXPI003434.7","SZAXPI003414.3","SZAXPI003416.4","SZAXPI017464.37","SZAXPI015214.19","SZAXPI017455.21","0.00192037584414469","0.00495026361413483","0.00829448120103196","0.00989359437489824","0.0127230884546768","0.0136466317975169","0.0179447880507111","0.019545703924212"
"SZAXPI003434.7","SZAXPI015246.34","SZAXPI015240.26","SZAXPI015272.108","SZAXPI015274.111","SZAXPI015266.89","SZAXPI003419.6","SZAXPI015243.31","0.00966272107198208","0.011143485481586","0.0121132574379006","0.0128946250545349","0.0150711302110226","0.0152521640635016","0.0210211524155241","SZAXPI003414.3","SZAXPI017585.109","SZAXPI015219.129","SZAXPI003431.1","SZAXPI017588.123","SZAXPI017455.21","SZAXPI003416.4","SZAXPI017464.37","0.0044754336664568","0.00710195041868406","0.00824619589159539","0.00829448120103196","0.0134990996593331","0.0145403080882733","0.0204122879021185","0.0215320424583224"
"SZAXPI003435.11","SZAXPI015234.20","SZAXPI015227.13","SZAXPI015245.33","SZAXPI015244.32","SZAXPI015253.44","SZAXPI015235.21","SZAXPI015249.37","0.00908232766331388","0.0123285642634116","0.012446310043239","0.013353712930524","0.0193572821357253","0.0216932878755561","0.0251355177393136","SZAXPI015216.169","SZAXPI015225.18","SZAXPI003413.4","SZAXPI003411.6","SZAXPI017460.27","SZAXPI015220.136","SZAXPI017593.158","SZAXPI017581.93","0.00515064310127304","0.00690356459471677","0.00867356945573123","0.00868062516578534","0.0115983983459543","0.0209151718761894","0.0302277442577883","0.0319234291012474"
"SZAXPI003437.3","SZAXPI015247.35","SZAXPI015255.46","SZAXPI015273.95","SZAXPI015270.90","SZAXPI015261.75","SZAXPI015242.30","SZAXPI015233.19","0.00867284803941599","0.0108479222764183","0.0121575941648655","0.0123998455901571","0.0128011168729136","0.0140355472248719","0.0156630855470714","SZAXPI015210.17","SZAXPI015211.166","SZAXPI003421.5","SZAXPI017457.24","SZAXPI017462.33","SZAXPI017461.32","SZAXPI003425.1","SZAXPI017584.108","0.00490060796234419","0.00868297981768964","0.0109812280132916","0.0110900222616758","0.0118461390366626","0.0130764188115544","0.0149283969841152","0.0154091680520578"
"SZAXPI015209.133","SZAXPI015232.18","SZAXPI015260.74","SZAXPI015238.24","SZAXPI003417.4","SZAXPI015267.102","SZAXPI015239.25","SZAXPI015256.47","0.00584250015467235","0.00850505968835977","0.0228698899478372","0.027345830663057","0.0380957092843547","0.042431359988736","0.0489299891023272","SZAXPI003427.1","SZAXPI015237.23","SZAXPI017595.169","SZAXPI003426.11","SZAXPI017590.136","SZAXPI017582.94","SZAXPI003418.8","SZAXPI017583.102","0.0113830574950037","0.0227225468557647","0.0257606215349109","0.0291774951403897","0.0403850724684909","0.042503193690224","0.0490305984676103","0.0495758197012306"
