"Species","Pvalue","Ctlmean","Ctlmedian","CRCmean","CRCmedian","Study","pvalue","adj.fdr.p","Enrichment"
"Veillonella_dispar",0.0865166220800345,0.0865065,"0.007255",0.0248785,"0","PRJDB4176",0.0865166220800345,0.56189624104033,"Nodiff"
"Olsenella_unclassified",0.0872480055090768,0.00103625,"0",0.0023625,"0","PRJDB4176",0.0872480055090768,0.56189624104033,"Nodiff"
"Peptostreptococcus_anaerobius",0.0878833961433838,0.0005205,"0",0.008925,"0","PRJDB4176",0.0878833961433838,0.56189624104033,"Nodiff"
"Sutterella_parvirubra",0.0878833961433838,0.0006045,"0",0.281169,"0","PRJDB4176",0.0878833961433838,0.56189624104033,"Nodiff"
"Veillonella_parvula",0.0879030792162236,0.63201225,"0.02566",0.37610725,"0.0141","PRJDB4176",0.0879030792162236,0.56189624104033,"Nodiff"
"Bacteroides_cellulosilyticus",0.0879500089960694,0.20728175,"0",1.109051,"0.021735","PRJDB4176",0.0879500089960694,0.56189624104033,"Nodiff"
"Peptostreptococcus_unclassified",0.0883162656760428,0.00462075,"0",0.0061,"0","PRJDB4176",0.0883162656760428,0.56189624104033,"Nodiff"
"Eubacterium_brachy",0.0940182903098556,0.000418,"0",0.0055795,"0","PRJDB4176",0.0940182903098556,0.56250442957763,"Nodiff"
"Paraprevotella_unclassified",0.100148868782118,0.19903775,"0",0.20219825,"0","PRJDB4176",0.100148868782118,0.56250442957763,"Nodiff"
"Streptococcus_pasteurianus",0.100287784005705,0.03941325,"0",0.12499825,"0","PRJDB4176",0.100287784005705,0.56250442957763,"Nodiff"
"Akkermansia_muciniphila",0.101071680835119,0.3217015,"0",1.41814325,"0.00757","PRJDB4176",0.101071680835119,0.56250442957763,"Nodiff"
"Clostridium_leptum",0.102610792512818,0.14590925,"0.00351",0.173,"0.022875","PRJDB4176",0.102610792512818,0.56250442957763,"Nodiff"
"Erysipelotrichaceae_bacterium_6_1_45",0.106914030321278,0.00274625,"0",0.0115705,"0","PRJDB4176",0.106914030321278,0.56250442957763,"Nodiff"
"Bacteroides_intestinalis",0.108349154347546,0.01689275,"0",0.18042975,"0","PRJDB4176",0.108349154347546,0.56250442957763,"Nodiff"
"Streptococcus_constellatus",0.109763816024899,0.00124125,"0",0.004995,"0","PRJDB4176",0.109763816024899,0.56250442957763,"Nodiff"
"Bacteroides_finegoldii",0.11009260750874,0.23381825,"0",0.56641775,"0","PRJDB4176",0.11009260750874,0.56250442957763,"Nodiff"
"Gordonibacter_pamelaeae",0.110465021386934,0.00193275,"0",0.00544175,"0","PRJDB4176",0.110465021386934,0.56250442957763,"Nodiff"
"Anaerotruncus_unclassified",0.116361809286482,0.00572975,"0",0.022324,"0","PRJDB4176",0.116361809286482,0.56250442957763,"Nodiff"
"Alistipes_onderdonkii",0.117060143530811,0.22814525,"0.006915",0.931655,"0.042525","PRJDB4176",0.117060143530811,0.56250442957763,"Nodiff"
"Paraprevotella_xylaniphila",0.126458612840921,0.14428525,"0",0.09189075,"0","PRJDB4176",0.126458612840921,0.56250442957763,"Nodiff"
"Lachnospiraceae_bacterium_8_1_57FAA",0.126806129657498,0.095995,"0",0.0229285,"0","PRJDB4176",0.126806129657498,0.56250442957763,"Nodiff"
"Phascolarctobacterium_succinatutens",0.12718040538563,0.96775375,"0",1.34293125,"0","PRJDB4176",0.12718040538563,0.56250442957763,"Nodiff"
"Clostridium_scindens",0.128789930517686,0.00141975,"0",0.0031325,"0","PRJDB4176",0.128789930517686,0.56250442957763,"Nodiff"
"Parasutterella_excrementihominis",0.13165285133152,0.03183575,"0",0.0151895,"0","PRJDB4176",0.13165285133152,0.56250442957763,"Nodiff"
"Citrobacter_unclassified",0.132885958123411,0.00725475,"0",0.01035975,"0","PRJDB4176",0.132885958123411,0.56250442957763,"Nodiff"
"Bacteroidales_bacterium_ph8",0.134524516495197,0.1106795,"0",0.2319345,"0.00845","PRJDB4176",0.134524516495197,0.56250442957763,"Nodiff"
"Megamonas_unclassified",0.139774353040844,1.74044675,"0",0.744539,"0","PRJDB4176",0.139774353040844,0.56250442957763,"Nodiff"
