"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"40","CRC_MR_SBJ35C_17","CRC_MR_SBJ45H_17","CRC_MR_SBJ63H_17","CRC_MR_SBJ65H_17","CRC_MR_SBJ75H_17","CRC_MR_SBJ80H_17","21.3229728253801","25.7591123987978","26.0329820482633","26.0876445429652","26.7621502754861","CRC_MR_SBJ42C_17","CRC_MR_SBJ22C_17","CRC_MR_SBJ36C_17","CRC_MR_SBJ02C_17","CRC_MR_SBJ04C_17","25.229073057887","25.6864999876472","26.5972072258405","27.6469542915617","28.909077180768"
"41","CRC_MR_SBJ36C_17","CRC_MR_SBJ67H_17","CRC_MR_SBJ65H_17","CRC_MR_SBJ80H_17","CRC_MR_SBJ74H_17","CRC_MR_SBJ45H_17","16.8229412749882","19.8779159447488","22.1287869042702","22.8718820055456","23.3095338642968","CRC_MR_SBJ02C_17","CRC_MR_SBJ42C_17","CRC_MR_SBJ01C_17","CRC_MR_SBJ04C_17","CRC_MR_SBJ22C_17","17.4905140323148","22.085035148668","22.4195757212442","22.6267286649639","22.697065341363"
"42","CRC_MR_SBJ39C_17","CRC_MR_SBJ82H_17","CRC_MR_SBJ74H_17","CRC_MR_SBJ34H_17","CRC_MR_SBJ80H_17","CRC_MR_SBJ63H_17","21.6128407872149","23.2603141972782","23.3064407571662","24.0845273484929","24.1591407911395","CRC_MR_SBJ52C_17","CRC_MR_SBJ04C_17","CRC_MR_SBJ06C_17","CRC_MR_SBJ02C_17","CRC_MR_SBJ10C_17","22.145723018985","22.6091465746012","23.8467308590842","24.2504662271161","24.4689071652557"
"43","CRC_MR_SBJ40C_17","CRC_MR_SBJ73H_17","CRC_MR_SBJ45H_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ67H_17","CRC_MR_SBJ84H_17","24.6962781809203","24.8335905731169","25.2683941994085","25.9352466734269","26.0197877370416","CRC_MR_SBJ01C_17","CRC_MR_SBJ06C_17","CRC_MR_SBJ32C_17","CRC_MR_SBJ04C_17","CRC_MR_SBJ52C_17","24.2288203485519","25.6267314227605","25.8166098767131","27.0858551716556","27.8902656423222"
"44","CRC_MR_SBJ42C_17","CRC_MR_SBJ67H_17","CRC_MR_SBJ21H_17","CRC_MR_SBJ18H_17","CRC_MR_SBJ45H_17","CRC_MR_SBJ73H_17","21.5474196671713","22.4813921594794","22.826488512752","22.8745033995254","23.0358962392198","CRC_MR_SBJ02C_17","CRC_MR_SBJ22C_17","CRC_MR_SBJ36C_17","CRC_MR_SBJ01C_17","CRC_MR_SBJ04C_17","20.8826909512615","21.0110739792044","22.085035148668","22.4012845020972","24.5108659749222"
"45","CRC_MR_SBJ47C_17","CRC_MR_SBJ79H_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ68H_17","CRC_MR_SBJ45H_17","CRC_MR_SBJ78H_17","23.4352301034554","24.7503815951795","24.9388428866377","26.0611255890551","28.4101049742675","CRC_MR_SBJ32C_17","CRC_MR_SBJ20C_17","CRC_MR_SBJ27C_17","CRC_MR_SBJ06C_17","CRC_MR_SBJ11C_17","24.0156564116349","27.4396581106216","27.8482688325002","29.1612101172088","30.9435537968007"
"46","CRC_MR_SBJ49C_17","CRC_MR_SBJ60H_17","CRC_MR_SBJ83H_17","CRC_MR_SBJ46H_17","CRC_MR_SBJ03H_17","CRC_MR_SBJ37H_17","15.0063771015492","15.9772431363424","19.2592312728598","26.460462293573","27.6966084324236","CRC_MR_SBJ53C_17","CRC_MR_SBJ27C_17","CRC_MR_SBJ36C_17","CRC_MR_SBJ07C_17","CRC_MR_SBJ31C_17","24.809291967787","29.2784704000533","30.9906968353166","31.7680349158144","33.2993201208238"
"47","CRC_MR_SBJ51C_17","CRC_MR_SBJ67H_17","CRC_MR_SBJ77H_17","CRC_MR_SBJ78H_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ34H_17","23.423215890872","24.9886943401071","26.0070399327086","26.3369071137672","26.917942499985","CRC_MR_SBJ32C_17","CRC_MR_SBJ53C_17","CRC_MR_SBJ01C_17","CRC_MR_SBJ10C_17","CRC_MR_SBJ06C_17","24.377250677882","25.6054566629674","27.8318708345828","28.0110635269334","28.2700889297434"
"48","CRC_MR_SBJ52C_17","CRC_MR_SBJ34H_17","CRC_MR_SBJ74H_17","CRC_MR_SBJ78H_17","CRC_MR_SBJ73H_17","CRC_MR_SBJ65H_17","17.7833566968697","17.8853945153609","18.8087463419416","19.2873911413934","19.7592974227375","CRC_MR_SBJ06C_17","CRC_MR_SBJ64C_17","CRC_MR_SBJ04C_17","CRC_MR_SBJ10C_17","CRC_MR_SBJ39C_17","15.255374096652","16.7161231989358","17.8571643542753","20.5661073012882","22.145723018985"
"49","CRC_MR_SBJ53C_17","CRC_MR_SBJ46H_17","CRC_MR_SBJ60H_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ21H_17","CRC_MR_SBJ67H_17","21.3251919919798","22.6004725064898","24.6533345687455","25.2131843430456","25.7843816787818","CRC_MR_SBJ12C_17","CRC_MR_SBJ49C_17","CRC_MR_SBJ51C_17","CRC_MR_SBJ33C_17","CRC_MR_SBJ31C_17","24.6607186924814","24.809291967787","25.6054566629674","25.7585534064706","26.1296712167528"
