"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31"
"82","SZAXPI017464.37","SZAXPI003433.7","SZAXPI015271.93","SZAXPI015270.90","SZAXPI015257.56","SZAXPI015259.62","SZAXPI015268.109","SZAXPI015230.16","28.0660676042797","30.6992832715603","32.9404751721101","33.576272058482","34.9321333811063","35.5069798740726","35.76608889889","SZAXPI017585.109","SZAXPI015214.19","SZAXPI003427.1","SZAXPI015237.23","SZAXPI017582.94","SZAXPI003426.11","SZAXPI015218.16","SZAXPI017454.20","26.2023367388178","26.9755583973956","31.6238112084897","31.6383232480769","33.4776509568383","33.5870767595976","33.6261146475399","33.7397107183064"
"83","SZAXPI017466.84","SZAXPI015268.109","SZAXPI015253.44","SZAXPI015251.41","SZAXPI015261.75","SZAXPI015264.87","SZAXPI015234.20","SZAXPI015227.13","21.3328747324827","23.9923252298209","24.3415054853968","24.8686529906467","25.0817540036238","25.3672882847142","25.7243766415709","SZAXPI017462.33","SZAXPI015218.16","SZAXPI003422.11","SZAXPI017454.20","SZAXPI015225.18","SZAXPI017453.19","SZAXPI015223.158","SZAXPI017583.102","21.8537164375765","22.6201845119508","24.309584797964","25.3710793772279","27.3822803716838","27.9974338724266","28.0028348558499","28.2332839192539"
"84","SZAXPI017467.87","SZAXPI015231.17","SZAXPI015245.33","SZAXPI015269.94","SZAXPI015252.43","SZAXPI015263.84","SZAXPI015264.87","SZAXPI015235.21","13.4087636758539","21.3200671185927","33.8049149241704","36.9207383687014","37.1705384837199","42.4721637490745","49.604701615483","SZAXPI015220.136","SZAXPI017589.133","SZAXPI017468.88","SZAXPI003430.5","SZAXPI015226.14","SZAXPI017593.158","SZAXPI003420.4","SZAXPI017584.108","13.064971492843","18.6571189686216","19.7919618323626","22.8994550481425","31.5249557670586","36.0627525004983","36.067252054781","42.5593791431031"
"85","SZAXPI017468.88","SZAXPI015245.33","SZAXPI015269.94","SZAXPI015263.84","SZAXPI015231.17","SZAXPI015252.43","SZAXPI015264.87","SZAXPI015235.21","16.4580070058133","23.7082772003007","26.2344735659514","26.5631376254388","27.4147853469729","29.280518896845","39.0877487824945","SZAXPI015220.136","SZAXPI017467.87","SZAXPI017589.133","SZAXPI003430.5","SZAXPI015226.14","SZAXPI017593.158","SZAXPI003420.4","SZAXPI015210.17","17.5690358301502","19.7919618323626","21.1734144529502","21.9851071968003","22.3421138143977","24.7097355736297","29.6968808993807","33.1876756881693"
"86","SZAXPI017580.90","SZAXPI015247.35","SZAXPI015251.41","SZAXPI003433.7","SZAXPI015268.109","SZAXPI015240.26","SZAXPI015261.75","SZAXPI015244.32","23.2944788416762","24.089012849652","24.1695218939949","24.3710823704303","26.7463944210692","26.8602827057702","26.9743128247486","SZAXPI017454.20","SZAXPI017463.36","SZAXPI017586.111","SZAXPI015218.16","SZAXPI003422.11","SZAXPI017588.123","SZAXPI015225.18","SZAXPI003427.1","22.9823166051097","23.6394781107917","24.712025940228","25.4774347385682","25.6829678267622","26.5098550779875","27.8804136276527","28.2138964494573"
"87","SZAXPI017582.94","SZAXPI015228.14","SZAXPI003419.6","SZAXPI003433.7","SZAXPI015268.109","SZAXPI015261.75","SZAXPI015251.41","SZAXPI015271.93","26.5339985623803","27.0537129018311","28.9975619989216","29.3552243826972","29.9246529261026","32.2834731964065","32.7215953686216","SZAXPI015237.23","SZAXPI017583.102","SZAXPI017585.109","SZAXPI017454.20","SZAXPI003427.1","SZAXPI015221.142","SZAXPI003426.11","SZAXPI003422.11","7.8797158350603","18.8841450597876","29.0925993741484","29.2439263590357","29.8096733109623","30.0565726082998","31.0779758473135","31.8725895413018"
"88","SZAXPI017583.102","SZAXPI015268.109","SZAXPI015261.75","SZAXPI003419.6","SZAXPI015228.14","SZAXPI003433.7","SZAXPI015271.93","SZAXPI015244.32","22.8437138153672","23.7652920857918","27.5585760912787","28.6777106965131","29.1794308156653","29.7171935689375","30.0100957654203","SZAXPI017582.94","SZAXPI015237.23","SZAXPI015218.16","SZAXPI003422.11","SZAXPI017454.20","SZAXPI003427.1","SZAXPI017466.84","SZAXPI015221.142","18.8841450597876","20.7951089870287","27.4139609034028","27.9559260464968","28.0128244973227","28.2172925450193","28.2332839192539","28.8266773559788"
"89","SZAXPI017584.108","SZAXPI015263.84","SZAXPI015245.33","SZAXPI015269.94","SZAXPI015264.87","SZAXPI015244.32","SZAXPI015261.75","SZAXPI015251.41","27.9408951098761","29.3478206713326","30.3956998425369","30.5375065179428","31.3055564312823","31.3421739964971","31.4697064220577","SZAXPI015226.14","SZAXPI017593.158","SZAXPI017454.20","SZAXPI015218.16","SZAXPI015210.17","SZAXPI017588.123","SZAXPI003427.1","SZAXPI003422.11","25.4156138228137","26.9591894182633","29.160850162605","30.2449068309625","30.4028088820655","31.4517990043193","31.7757746677355","32.7979224001201"
"90","SZAXPI017586.111","SZAXPI015242.30","SZAXPI015255.46","SZAXPI015230.16","SZAXPI015253.44","SZAXPI015271.93","SZAXPI015251.41","SZAXPI015227.13","18.3378672052505","19.8684895259579","20.4959599502658","20.5924992376326","20.7969631029172","22.0633198521891","22.2832015595246","SZAXPI017588.123","SZAXPI017458.25","SZAXPI015213.15","SZAXPI017462.33","SZAXPI017454.20","SZAXPI017594.166","SZAXPI015218.16","SZAXPI017580.90","20.379792503561","22.1111373591206","23.080568707638","23.2079681154512","23.5732660691174","23.6107539840726","23.7531012249285","24.712025940228"
"91","SZAXPI017587.113","SZAXPI003433.7","SZAXPI015212.113","SZAXPI015273.95","SZAXPI015259.62","SZAXPI015244.32","SZAXPI015241.27","SZAXPI003429.3","27.6101889277926","28.6998956650455","29.7852963115394","29.9306428604232","29.9882317257303","30.8670824296807","31.0266363141882","SZAXPI003422.11","SZAXPI015221.142","SZAXPI017454.20","SZAXPI003427.1","SZAXPI015222.123","SZAXPI017456.23","SZAXPI003426.11","SZAXPI017453.19","25.8068417025137","26.8244022725969","27.1950220829769","29.1085471257533","29.1986947733713","29.3052923840729","29.9381685086363","30.3174870996476"
"92","SZAXPI017588.123","SZAXPI015235.21","SZAXPI015230.16","SZAXPI015244.32","SZAXPI015253.44","SZAXPI015251.41","SZAXPI015255.46","SZAXPI015271.93","15.2837076769807","17.7466601809495","18.7848017570828","19.5882261944644","19.8232960419856","20.1612207643411","21.6131159495964","SZAXPI017594.166","SZAXPI017458.25","SZAXPI017586.111","SZAXPI015218.16","SZAXPI017462.33","SZAXPI015213.15","SZAXPI017454.20","SZAXPI017593.158","18.6790622968767","19.0250230405511","20.379792503561","20.8668319511012","21.821783635024","22.20206521561","22.5810517670413","23.6718446334311"
"93","SZAXPI017589.133","SZAXPI015245.33","SZAXPI015231.17","SZAXPI015269.94","SZAXPI015263.84","SZAXPI015252.43","SZAXPI015264.87","SZAXPI015235.21","19.0222685768338","21.8767741010232","32.7676886483667","33.4869850572577","34.6816761296769","38.1974012908195","45.0073033107006","SZAXPI015220.136","SZAXPI017467.87","SZAXPI017468.88","SZAXPI003430.5","SZAXPI015226.14","SZAXPI017593.158","SZAXPI003420.4","SZAXPI017584.108","17.5836687671345","18.6571189686216","21.1734144529502","24.4437593628394","26.8811904616797","31.5651340387317","33.2822316979135","36.9211945860464"
"94","SZAXPI017590.136","SZAXPI015243.31","SZAXPI015260.74","SZAXPI015238.24","SZAXPI015229.15","SZAXPI015267.102","SZAXPI003417.4","SZAXPI015244.32","15.3616413020484","16.1489957825866","20.5552217747438","27.8704739264477","29.239928520783","34.677485446853","37.001109290524","SZAXPI017595.169","SZAXPI003426.11","SZAXPI003415.12","SZAXPI017456.23","SZAXPI003432.12","SZAXPI003409.8","SZAXPI017453.19","SZAXPI003418.8","14.1366231493875","30.4844631086247","38.5214590255328","40.6325528546288","41.8572930561724","44.5820726126781","45.0819171192963","45.7276180550103"
"95","SZAXPI017593.158","SZAXPI015263.84","SZAXPI015269.94","SZAXPI015252.43","SZAXPI015264.87","SZAXPI015245.33","SZAXPI015227.13","SZAXPI015255.46","15.1799133987088","15.9607581953427","17.4570361328635","18.1292112944496","22.2098421384327","23.2170556741569","23.7837038448977","SZAXPI015226.14","SZAXPI015223.158","SZAXPI017458.25","SZAXPI015210.17","SZAXPI017588.123","SZAXPI017454.20","SZAXPI017468.88","SZAXPI015218.16","18.3852100997459","22.2073998203234","22.5489372945201","22.9484096241374","23.6718446334311","24.1600775378868","24.7097355736297","25.1517940302715"
"96","SZAXPI017594.166","SZAXPI015255.46","SZAXPI015241.27","SZAXPI015258.57","SZAXPI015227.13","SZAXPI015230.16","SZAXPI015253.44","SZAXPI015235.21","18.8067916043035","19.9512304888922","20.1279519069055","21.41798634528","22.7158662918168","22.8640443679","23.7584823927792","SZAXPI017588.123","SZAXPI017458.25","SZAXPI017586.111","SZAXPI017462.33","SZAXPI015218.16","SZAXPI017454.20","SZAXPI015210.17","SZAXPI015223.158","18.6790622968767","21.0540345710864","23.6107539840726","23.6249668759979","23.6940725034448","24.889871351817","25.1672034747109","25.4204373407973"
"97","SZAXPI017595.169","SZAXPI015260.74","SZAXPI015243.31","SZAXPI015238.24","SZAXPI015244.32","SZAXPI015229.15","SZAXPI003417.4","SZAXPI015253.44","16.4482182509657","24.0286669002173","24.2737742071047","29.4800012075051","29.6196495330988","31.3275401650353","38.1173365274162","SZAXPI017590.136","SZAXPI003426.11","SZAXPI003415.12","SZAXPI017456.23","SZAXPI003418.8","SZAXPI017453.19","SZAXPI017454.20","SZAXPI017588.123","14.1366231493875","21.9432011386147","33.734528522788","34.6906023712475","37.4143098394358","37.9597629826939","38.1997416551238","38.6197528565344"
