"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31"
"41","CCMD98702133ST.11.0","CCMD49942357ST.11.0","MMPU72854103ST","CCMD45812507ST.11.0","CCMD17410933ST.11.0","CCMD99929634ST.11.0","CCMD39157124ST.11.0","CCMD85661207ST.11.0","CCMD98198513ST.11.0","17.7583374758591","19.1533517037985","21.1290721831296","21.6482440929074","22.5669276446507","23.864305041924","24.2598739384647","24.4408152924468","CCMD51864103ST.21.0","CCMD59583015ST.11.0","CCMD93344354ST.21.0","CCMD86707194ST.21.0","CCMD13934959ST.21.0","CCMD95433940ST.21.0","CCMD49461418ST.11.0","19.10896159544","19.1262712017215","23.8679251551156","24.556835799221","24.6364013400557","27.2187253832669","27.3603130757654"
"42","CCMD99440714ST.11.0","CCMD35081859ST.11.0","MMPU99077057ST","MMPU68403337ST","MMPU84450604ST","CCMD41521570ST.11.0","CCMD50529145ST.11.0","CCMD93755960ST.11.0","CCMD56948710ST.11.0","22.0871333258144","22.4709718392396","22.6879047201653","22.74658310404","23.1263041679102","23.7224511839038","23.7265569974491","24.3122276341145","CCMD50071957ST.21.0","CCMD76222476ST.11.0","CCMD49461418ST.11.0","CCMD63399960ST.21.0","CCMD95433940ST.21.0","CCMD95431029ST.11.0","CCMD90311071ST.21.0","20.760044070972","23.2324372942853","23.8287145309876","23.8576964441205","24.4437030752646","25.1243417398267","25.4901817361823"
"43","MMPU29365221ST","CCMD41521570ST.11.0","CCMD53522274ST.11.0","CCMD59540613ST.11.0","CCMD99440714ST.11.0","CCMD41202658ST.11.0","MMPU99077057ST","CCMD54057834ST.11.0","MMPU68403337ST","23.0595852042204","23.7733246420689","26.1579423901327","26.5106214096124","26.5177850080658","26.9347749656072","27.4025866447312","27.8056341941863","CCMD86707194ST.21.0","CCMD63399960ST.21.0","CCMD50071957ST.21.0","CCMD90311071ST.21.0","CCMD49461418ST.11.0","CCMD19497912ST.21.0","CCMD76222476ST.11.0","23.821567447687","24.6392329160345","24.7485572706552","25.2532058885164","25.4110387924913","25.6979647147065","26.2357413602303"
"44","MMPU68403337ST","CCMD35081859ST.11.0","CCMD99440714ST.11.0","CCMD18579000ST.11.0","CCMD22852639ST.11.0","MMPU99077057ST","CCMD50529145ST.11.0","CCMD59540613ST.11.0","MMPU84450604ST","22.2095881480454","22.6879047201653","22.8577050638138","23.2362583621568","23.9811729203098","24.3786084992971","25.3695033792229","25.6779476884447","CCMD95431029ST.11.0","CCMD64776337ST.21.0","CCMD35633353ST.11.0","CCMD82866709ST.21.0","CCMD14479708ST.21.0","CCMD50071957ST.21.0","CCMD49461418ST.11.0","19.2401991588991","21.9418311225522","22.219503608733","22.886578659306","23.4541997492155","23.6971444195118","24.0562065921084"
"45","MMPU72854103ST","CCMD98702133ST.11.0","CCMD45812507ST.11.0","CCMD99929634ST.11.0","CCMD74592084ST.11.0","CCMD10032470ST.11.0","CCMD85661207ST.11.0","CCMD17410933ST.11.0","CCMD18579000ST.11.0","19.1533517037985","19.4740756534039","20.2301205429305","20.4657545893524","20.6344351131428","21.1778452448543","21.3708241930418","22.4200057973632","CCMD59583015ST.11.0","CCMD51864103ST.21.0","CCMD93344354ST.21.0","CCMD13934959ST.21.0","CCMD95433940ST.21.0","CCMD49461418ST.11.0","CCMD26709089ST.21.0","16.2726731058483","16.3729727737635","18.1912073153708","18.436486721035","21.517559599706","21.9581293588935","22.4062401559209"
"46","MMPU84450604ST","CCMD89107682ST.11.0","CCMD85661207ST.11.0","CCMD41521570ST.11.0","CCMD31009081ST.11.0","CCMD50529145ST.11.0","CCMD66848156ST.11.0","CCMD99440714ST.11.0","CCMD18579000ST.11.0","18.5387078623943","19.5090624536701","20.2668917088462","21.9377939296229","22.2312660731075","22.6366906796798","22.74658310404","22.9414030646428","CCMD46222674ST.21.0","CCMD86114146ST.21.0","CCMD95676152ST.11.0","CCMD63399960ST.21.0","CCMD95433940ST.21.0","CCMD50071957ST.21.0","CCMD49461418ST.11.0","18.0935620631704","20.7721737002125","21.1395407166523","21.6480816187209","22.5045623608436","22.6358247465848","24.3921874139959"
"47","MMPU99077057ST","CCMD85661207ST.11.0","CCMD50529145ST.11.0","CCMD93755960ST.11.0","CCMD18579000ST.11.0","CCMD35081859ST.11.0","CCMD66848156ST.11.0","CCMD41521570ST.11.0","CCMD10032470ST.11.0","16.5887608096416","17.6500255861514","17.9254534811061","19.0155301433723","19.3124267222066","20.7487573890534","21.1495991157185","21.4988412443787","CCMD49461418ST.11.0","CCMD52145360ST.11.0","CCMD63399960ST.21.0","CCMD76222476ST.11.0","CCMD86707194ST.21.0","CCMD95433940ST.21.0","CCMD95431029ST.11.0","16.8333178336239","19.5153354936906","19.6538363867694","20.7478793959286","20.8481282603835","21.2986077487943","21.7033960642914"
"48","CCMD12232071ST.21.0","CCMD56948710ST.11.0","CCMD53508245ST.11.0","CCMD32288175ST.11.0","CCMD66848156ST.11.0","CCMD89967135ST.11.0","CCMD27867141ST.11.0","CCMD38158721ST.11.0","CCMD18579000ST.11.0","21.9871608924095","23.5384565071502","24.4001760688053","25.362302051127","25.6137272758886","25.9331507977704","26.0321404925488","26.7484742898151","CCMD35802077ST.21.0","CCMD72895164ST.21.0","CCMD52145360ST.11.0","CCMD46222674ST.21.0","CCMD88272491ST.21.0","CCMD86114146ST.21.0","CCMD25511638ST.21.0","20.7126082521782","23.0641975885375","23.823789500281","26.0021846743326","27.1549307824969","27.2013332501828","28.0832781728807"
"49","CCMD13071240ST.21.0","CCMD35801800ST.11.0","CCMD85661207ST.11.0","MMPU72854103ST","CCMD18579000ST.11.0","CCMD73128545ST.11.0","CCMD59540613ST.11.0","CCMD99929634ST.11.0","CCMD98702133ST.11.0","24.5266253451244","24.6523118887256","24.9159616430552","25.6336583025443","26.8577562107262","27.1643588775568","27.2517412469387","28.2179539367439","CCMD13934959ST.21.0","CCMD25963797ST.21.0","CCMD95433940ST.21.0","CCMD93344354ST.21.0","CCMD63399960ST.21.0","CCMD72895164ST.21.0","CCMD51864103ST.21.0","20.7629079065939","25.3048533763427","25.4992366103909","25.6032076933184","25.8039312079885","26.2578118191673","27.0340119192028"
"50","CCMD13934959ST.21.0","CCMD18579000ST.11.0","MMPU72854103ST","CCMD53508245ST.11.0","CCMD85661207ST.11.0","CCMD73128545ST.11.0","CCMD45004878ST.11.0","CCMD18829815ST.11.0","CCMD39157124ST.11.0","16.9706644344734","18.436486721035","19.4599173563199","19.8771906179244","20.1550737909515","20.2711252541589","22.5141989527165","22.6871499722266","CCMD52145360ST.11.0","CCMD13071240ST.21.0","CCMD95433940ST.21.0","CCMD63399960ST.21.0","CCMD72895164ST.21.0","CCMD59583015ST.11.0","CCMD46222674ST.21.0","19.2605218371336","20.7629079065939","21.2088876146251","22.1894509408525","22.2728559773259","22.3302735521243","22.9450741314449"
"51","CCMD14479708ST.21.0","MMPU68403337ST","CCMD18579000ST.11.0","CCMD54057834ST.11.0","CCMD89967135ST.11.0","CCMD56948710ST.11.0","CCMD59540613ST.11.0","CCMD99440714ST.11.0","CCMD27867141ST.11.0","23.4541997492155","25.3286874809099","26.2730391600858","26.8865472436961","28.1908523080023","28.8443690551848","29.7003796702803","30.536566844539","CCMD35633353ST.11.0","CCMD64776337ST.21.0","CCMD82866709ST.21.0","CCMD25963797ST.21.0","CCMD50071957ST.21.0","CCMD63399960ST.21.0","CCMD46222674ST.21.0","22.123685615245","22.6156989413438","23.3423726839304","26.0116423839903","26.8345214421592","27.3827292384817","28.5650680792957"
