"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"26","CCIS95097901ST.4.0","CCIS78100604ST.4.0","CCIS27304052ST.3.0","CCIS63910149ST.4.0","CCIS02856720ST.4.0","CCIS93040568ST.20.0","CCIS34604008ST.4.0","CCIS50471204ST.4.0","18.0076405670288","22.308928894167","22.329197946337","22.5220246994692","22.7038484629236","23.5746491976296","24.0236236969342","CCIS17669415ST.4.0","CCIS47284573ST.4.0","CCIS06260551ST.3.0","CCIS53355328ST.4.0","CCIS76845094ST.20.0","CCIS55230578ST.4.0","CCIS46047672ST.4.0","21.6157832221134","21.8892258495247","23.4540277147338","23.612828606173","23.6970559773066","25.2653048133325","26.5162802810839"
"27","CCIS95409808ST.4.0","CCIS32452666ST.4.0","CCIS45571137ST.3.0","CCIS51595129ST.4.0","CCIS63910149ST.4.0","CCIS82507866ST.3.0","CCIS94417875ST.3.0","CCIS21126322ST.4.0","16.5712636685951","18.6818736564377","20.9965338513598","21.7119584818482","22.6179353895443","24.2122411296538","24.4325534271656","CCIS38765456ST.20.0","CCIS55230578ST.4.0","CCIS33816588ST.4.0","CCIS21278152ST.4.0","CCIS06260551ST.3.0","CCIS47284573ST.4.0","CCIS53043478ST.4.0","16.431452078943","22.8956727116632","24.5191860026388","24.583680049364","25.2449268264794","26.3045674698502","26.505291146507"
"28","CCIS98482370ST.3.0","CCIS45793747ST.4.0","CCIS71578391ST.4.0","CCIS21126322ST.4.0","CCIS05314658ST.4.0","CCIS03473770ST.4.0","CCIS02124300ST.4.0","CCIS07539127ST.4.0","25.9328412375698","26.7385455764015","27.1164788921497","28.0158047221778","28.0266548590694","28.2379834677142","28.4255138115303","CCIS14449628ST.4.0","CCIS48725289ST.4.0","CCIS53043478ST.4.0","CCIS52370277ST.4.0","CCIS62794166ST.4.0","CCIS47284573ST.4.0","CCIS91228662ST.4.0","25.0395766311913","26.4207431988523","27.3476983198843","27.5004012713306","27.9752189180657","28.7188446463955","28.7663129509362"
"29","CCIS02379307ST.4.0","CCIS07539127ST.4.0","CCIS50471204ST.4.0","CCIS64773582ST.4.0","CCIS94417875ST.3.0","CCIS80834637ST.4.0","CCIS03473770ST.4.0","CCIS45793747ST.4.0","21.1389255859422","21.9543300568999","22.043579183726","22.9981946903947","23.3630499959894","23.619632850959","23.766591658736","CCIS11015875ST.4.0","CCIS53043478ST.4.0","CCIS91228662ST.4.0","CCIS48725289ST.4.0","CCIS71301801ST.4.0","CCIS62794166ST.4.0","CCIS62605362ST.3.0","20.1658175139765","21.7578737184611","21.8971453581763","22.2983634381943","23.14157339545","23.5019601910309","23.5792222668327"
"30","CCIS06260551ST.3.0","CCIS88007743ST.4.0","CCIS02856720ST.4.0","CCIS45793747ST.4.0","CCIS50471204ST.4.0","CCIS79210440ST.3.0","CCIS11362406ST.4.0","CCIS11354283ST.4.0","17.8042522555737","18.3682658198971","18.6954785904025","18.8507623774584","20.3565086298609","20.5650465785371","21.0349797642926","CCIS55230578ST.4.0","CCIS53355328ST.4.0","CCIS46047672ST.4.0","CCIS11015875ST.4.0","CCIS47284573ST.4.0","CCIS62605362ST.3.0","CCIS33816588ST.4.0","17.2883766535872","19.2131032770607","19.9095814828514","19.9837960181918","19.9946953361835","21.0906140795236","21.4226144341605"
"31","CCIS11015875ST.4.0","CCIS03473770ST.4.0","CCIS94417875ST.3.0","CCIS50471204ST.4.0","CCIS45793747ST.4.0","CCIS05314658ST.4.0","CCIS11354283ST.4.0","CCIS71578391ST.4.0","16.2190266034032","16.8323746967236","17.6447593836385","17.9901812202073","18.8637643027074","19.1122928450069","19.1684686105802","CCIS53043478ST.4.0","CCIS55230578ST.4.0","CCIS47284573ST.4.0","CCIS41548810ST.4.0","CCIS06260551ST.3.0","CCIS48725289ST.4.0","CCIS02379307ST.4.0","17.578319860803","17.6386503663404","18.8668414569026","19.6746612595058","19.9837960181918","19.9844818258418","20.1658175139765"
"32","CCIS17669415ST.4.0","CCIS78100604ST.4.0","CCIS34604008ST.4.0","CCIS63910149ST.4.0","CCIS64785924ST.20.0","CCIS95097901ST.4.0","CCIS11354283ST.4.0","CCIS23164343ST.4.0","18.4850609132808","19.6898307956239","20.5843892933869","20.9744140097882","21.6157832221134","21.9210810448595","22.2068578654658","CCIS53355328ST.4.0","CCIS06260551ST.3.0","CCIS55230578ST.4.0","CCIS46047672ST.4.0","CCIS47284573ST.4.0","CCIS76845094ST.20.0","CCIS41222843ST.4.0","21.9328373497161","23.6482303343633","23.7746583240433","24.1622197299296","25.6876022507104","26.8670390405046","27.2972892311453"
"33","CCIS21278152ST.4.0","CCIS82507866ST.3.0","CCIS63468405ST.4.0","CCIS95409808ST.4.0","CCIS51595129ST.4.0","CCIS32452666ST.4.0","CCIS03857607ST.4.0","CCIS74239020ST.4.0","19.3880187583543","20.1458339300735","24.583680049364","24.9971473334819","27.0141066049166","30.432648514684","31.1620967783187","CCIS38765456ST.20.0","CCIS53043478ST.4.0","CCIS77252613ST.4.0","CCIS98512455ST.4.0","CCIS91228662ST.4.0","CCIS11015875ST.4.0","CCIS62605362ST.3.0","21.6173070922282","32.7746797950125","34.8865766645869","35.4432009463268","35.5095141749194","35.6235906550266","35.777963450982"
"34","CCIS22416007ST.4.0","CCIS90164298ST.4.0","CCIS05314658ST.4.0","CCIS15794887ST.4.0","CCIS07539127ST.4.0","CCIS11362406ST.4.0","CCIS50471204ST.4.0","CCIS88317640ST.4.0","26.9753615942067","27.4286879657048","28.0260622982198","28.1774827341674","28.3774151208316","28.4490756462385","28.7195825178953","CCIS53043478ST.4.0","CCIS62794166ST.4.0","CCIS47284573ST.4.0","CCIS11015875ST.4.0","CCIS50148151ST.4.0","CCIS62605362ST.3.0","CCIS55230578ST.4.0","27.2465968672566","27.831511568474","28.3523965981291","28.5387115323537","29.5526055682743","29.9317045979142","30.0937259367945"
"35","CCIS22958137ST.20.0","CCIS50471204ST.4.0","CCIS45793747ST.4.0","CCIS11354283ST.4.0","CCIS32452666ST.4.0","CCIS63910149ST.4.0","CCIS48174381ST.4.0","CCIS02856720ST.4.0","25.6269104358739","26.2653961835168","26.8070190567937","27.293164592588","27.308381264068","27.6788980671413","27.9658915724226","CCIS06260551ST.3.0","CCIS47284573ST.4.0","CCIS81887263ST.4.0","CCIS53355328ST.4.0","CCIS11015875ST.4.0","CCIS62605362ST.3.0","CCIS76845094ST.20.0","24.7905303459224","26.229899563134","26.3766639473494","26.5559752230698","26.7623287586189","27.0794406104428","27.1893649478578"
