"AUC","RepeatTimes","Fold","FatureCount"
0.808704453441296,3,9,50
0.885041551246537,3,8,50
0.820512820512821,3,7,50
0.799257759784076,3,6,50
0.871794871794872,3,5,50
0.926450742240216,3,4,50
0.856648199445983,3,3,50
0.786357340720221,3,2,50
0.801619433198381,3,1,50
0.873767258382643,2,10,50
0.818825910931174,2,9,50
0.928137651821862,2,8,50
0.818213296398892,2,7,50
0.836565096952908,2,6,50
0.833333333333334,2,5,50
0.795013850415512,2,4,50
0.831717451523545,2,3,50
0.784023668639053,2,2,50
0.87508218277449,2,1,50
0.826869806094183,1,10,50
0.874831309041835,1,9,50
0.912280701754386,1,8,50
0.80999342537804,1,7,50
0.82215647600263,1,6,50
0.838056680161943,1,5,50
0.913292847503374,1,4,50
0.863247863247863,1,3,50
0.873481781376518,1,2,50
0.904858299595142,1,1,50
0.87084487534626,20,10,40
0.854588394062079,20,9,40
0.897773279352227,20,8,40
0.801282051282051,20,7,40
0.91970310391363,20,6,40
0.758434547908232,20,5,40
0.845479082321188,20,4,40
0.834319526627219,20,3,40
0.85387811634349,20,2,40
0.851214574898785,20,1,40
0.885964912280702,19,10,40
0.873438527284681,19,9,40
0.880904183535763,19,8,40
0.862348178137652,19,7,40
0.85897435897436,19,6,40
0.822874493927126,19,5,40
0.888157894736842,19,4,40
0.80634278002699,19,3,40
0.795546558704454,19,2,40
0.859649122807018,19,1,40
0.893005540166205,18,10,40
0.930747922437673,18,9,40
0.899460188933873,18,8,40
0.857624831309042,18,7,40
0.784750337381917,18,6,40
0.810053981106613,18,5,40
0.81612685560054,18,4,40
0.879892037786774,18,3,40
0.870808678500986,18,2,40
0.853385930309007,18,1,40
0.847840755735493,17,10,40
0.833333333333333,17,9,40
0.840236686390532,17,8,40
0.816801619433198,17,7,40
0.803670360110803,17,6,40
0.888504155124654,17,5,40
0.827260458839406,17,4,40
0.855937921727395,17,3,40
0.83029689608637,17,2,40
0.858645627876397,17,1,40
0.853714661406969,16,10,40
0.879892037786775,16,9,40
0.862348178137652,16,8,40
0.767659279778393,16,7,40
0.860457063711911,16,6,40
0.791497975708502,16,5,40
0.871883656509695,16,4,40
0.769736842105263,16,3,40
0.841759002770083,16,2,40
0.826923076923077,16,1,40
0.86336032388664,15,10,40
0.763832658569501,15,9,40
0.863022941970311,15,8,40
0.795883940620783,15,7,40
0.875346260387812,15,6,40
0.82617728531856,15,5,40
0.827087442472058,15,4,40
0.8601108033241,15,3,40
0.857624831309042,15,2,40
0.899460188933873,15,1,40
0.904183535762484,14,10,40
0.799932523616734,14,9,40
0.833662064431295,14,8,40
0.760355029585799,14,7,40
0.878205128205128,14,6,40
0.878369493754109,14,5,40
0.848126232741618,14,4,40
0.789612097304405,14,3,40
0.88225371120108,14,2,40
0.83502024291498,14,1,40
0.844804318488529,13,10,40
0.820637119113574,13,9,40
0.853385930309007,13,8,40
0.845496383957922,13,7,40
0.885272846811308,13,6,40
0.919789612097304,13,5,40
0.950742240215924,13,4,40
0.874095989480605,13,3,40
0.867850098619329,13,2,40
0.776653171390014,13,1,40
0.866396761133603,12,10,40
0.851214574898786,12,9,40
0.860998650472335,12,8,40
0.872576177285318,12,7,40
0.913630229419703,12,6,40
0.80195681511471,12,5,40
0.911268556005398,12,4,40
0.825236167341431,12,3,40
0.814777327935223,12,2,40
0.831309041835358,12,1,40
0.858725761772853,11,10,40
0.81578947368421,11,9,40
0.813090418353576,11,8,40
0.794534412955466,11,7,40
0.814102564102564,11,6,40
0.819197896120973,11,5,40
0.821862348178138,11,4,40
0.955802968960864,11,3,40
0.829986149584487,11,2,40
0.893387314439946,11,1,40
0.840565417488494,10,10,40
0.790927021696252,10,9,40
0.873819163292848,10,8,40
0.882928475033739,10,7,40
0.850202429149797,10,6,40
0.845141700404858,10,5,40
0.890927977839335,10,4,40
0.826101249178172,10,3,40
0.793282548476454,10,2,40
0.890532544378698,10,1,40
0.838731443994602,9,10,40
0.804655870445344,9,9,40
0.82938856015779,9,8,40
0.88663967611336,9,7,40
0.894399460188934,9,6,40
0.907548476454294,9,5,40
0.925775978407557,9,4,40
0.83629191321499,9,3,40
0.828073635765943,9,2,40
0.870782726045884,9,1,40
0.872229916897507,8,10,40
0.792570677186062,8,9,40
0.83275623268698,8,8,40
0.88560157790927,8,7,40
0.828947368421053,8,6,40
0.816801619433198,8,5,40
0.828731097961867,8,4,40
0.822485207100592,8,3,40
0.876518218623482,8,2,40
0.804655870445344,8,1,40
0.856344510190664,7,10,40
0.861932938856016,7,9,40
0.83502024291498,7,8,40
0.828402366863905,7,7,40
0.871794871794872,7,6,40
0.941157133464825,7,5,40
0.759040105193951,7,4,40
0.884286653517423,7,3,40
0.787968441814595,7,2,40
0.80668016194332,7,1,40
0.873767258382643,6,10,40
0.839335180055402,6,9,40
0.886302294197031,6,8,40
0.887651821862348,6,7,40
0.81689677843524,6,6,40
0.839907955292571,6,5,40
0.802294197031039,6,4,40
0.746537396121883,6,3,40
0.823753462603878,6,2,40
