"Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","Predict","BaseModel"
0.7109375,0.409181636726547,0.624221698586304,0.787619594415101,0.5859375,0.00231846689068209,0.742308394071716,0.679245283018868,0.733333333333333,0.642857142857143,0.763888888888889,0.642857142857143,0.679245283018868,0.660550458715596,0.4140625,0.28125,0.4375,0.706289308176101,"YuJ_2015","ZellerG_2014"
0.586538461538462,0.173076923076923,0.485763412995113,0.682254246249398,0.5,0.0475218373997041,0.000252249023327326,0.826923076923077,0.346153846153846,0.558441558441558,0.666666666666667,0.558441558441558,0.826923076923077,0.666666666666667,0.5,0.413461538461538,0.740384615384615,0.586538461538461,"VogtmannE_2016","ZellerG_2014"
0.716666666666667,0.444444444444444,0.58556393105017,0.825494716485625,0.533333333333333,0.0028682439430274,0.0152933710301989,0.892857142857143,0.5625,0.641025641025641,0.857142857142857,0.641025641025641,0.892857142857143,0.746268656716418,0.466666666666667,0.416666666666667,0.65,0.727678571428571,"ThomasAM_2018b","ZellerG_2014"
0.471698113207547,-0.0509915014164306,0.333024695678895,0.613644792805901,0.547169811320755,0.892603279651963,0.570750388058174,0.5,0.448275862068966,0.428571428571429,0.52,0.428571428571429,0.5,0.461538461538462,0.452830188679245,0.226415094339623,0.528301886792453,0.474137931034483,"ThomasAM_2018a","ZellerG_2014"
0.775700934579439,0.519281168101834,0.684890462416253,0.850690371188657,0.570093457943925,6.97483198309072e-06,0.000520244347590231,0.950819672131147,0.543478260869565,0.734177215189873,0.892857142857143,0.734177215189873,0.950819672131147,0.828571428571429,0.570093457943925,0.542056074766355,0.738317757009346,0.747148966500356,"FengQ_2015","ZellerG_2014"
0.859649122807018,0.716506061548026,0.78210590745189,0.917597722731882,0.535087719298246,1.82751223217512e-13,0.453254704753736,0.901639344262295,0.811320754716981,0.846153846153846,0.877551020408163,0.846153846153846,0.901639344262295,0.873015873015873,0.535087719298246,0.482456140350877,0.570175438596491,0.856480049489638,"ZellerG_2014","ZellerG_2014"
0.8,0.593363695510735,0.719078406904759,0.866190785346124,0.52,7.55693648042326e-11,1.08250878154077e-05,0.984615384615385,0.6,0.727272727272727,0.972972972972973,0.727272727272727,0.984615384615385,0.836601307189543,0.52,0.512,0.704,0.792307692307692,"PRJEB27928","YuJ_2015"
0.7375,0.475,0.627149169787568,0.829590748899592,0.5,1.26455512823353e-05,0.662520583540057,0.7,0.775,0.756756756756757,0.720930232558139,0.756756756756757,0.7,0.727272727272727,0.5,0.35,0.4625,0.7375,"PRJDB4176","YuJ_2015"
0.684210526315789,0.368421052631579,0.590510083558232,0.7680673903046,0.535087719298246,0.000848653718534505,0.617075077451974,0.672131147540984,0.69811320754717,0.719298245614035,0.649122807017544,0.719298245614035,0.672131147540984,0.694915254237288,0.535087719298246,0.359649122807018,0.5,0.685122177544077,"ZellerG_2014","YuJ_2015"
0.682692307692308,0.365384615384615,0.584156423695833,0.770511452524458,0.5,0.000123557920532286,0.0367138563627041,0.807692307692308,0.557692307692308,0.646153846153846,0.743589743589744,0.646153846153846,0.807692307692308,0.717948717948718,0.5,0.403846153846154,0.625,0.682692307692308,"VogtmannE_2016","YuJ_2015"
0.816666666666667,0.637362637362637,0.695603945259224,0.904764177083436,0.533333333333333,4.34392968694257e-06,0.0704404292720882,0.928571428571429,0.71875,0.742857142857143,0.92,0.742857142857143,0.928571428571429,0.825396825396825,0.466666666666667,0.433333333333333,0.583333333333333,0.823660714285714,"ThomasAM_2018b","YuJ_2015"
0.547169811320755,0.14745308310992,0.404498291726719,0.684384716135901,0.547169811320755,0.556478972882308,0.000105163554033631,0.916666666666667,0.241379310344828,0.5,0.777777777777778,0.5,0.916666666666667,0.647058823529412,0.452830188679245,0.415094339622642,0.830188679245283,0.579022988505747,"ThomasAM_2018a","YuJ_2015"
0.803738317757009,0.594184576485461,0.715776300413849,0.874212669674597,0.570093457943925,2.95556144915878e-07,0.382733088885226,0.868852459016393,0.717391304347826,0.803030303030303,0.804878048780488,0.803030303030303,0.868852459016393,0.834645669291339,0.570093457943925,0.495327102803738,0.616822429906542,0.79312188168211,"FengQ_2015","YuJ_2015"
0.8828125,0.760479041916168,0.814091098308072,0.932905918118122,0.5859375,1.70672506018966e-13,0.605576616335346,0.886792452830189,0.88,0.839285714285714,0.916666666666667,0.839285714285714,0.886792452830189,0.862385321100917,0.4140625,0.3671875,0.4375,0.883396226415094,"YuJ_2015","YuJ_2015"
0.768,0.531956100710136,0.684096576887418,0.838788339469725,0.52,9.77337676361392e-09,0.0633177868300456,0.861538461538462,0.666666666666667,0.736842105263158,0.816326530612245,0.736842105263158,0.861538461538462,0.794326241134752,0.52,0.448,0.608,0.764102564102564,"PRJEB27928","VogtmannE_2016"
0.7125,0.425,0.60045488668798,0.808239528028035,0.5,9.15582820648753e-05,0.0952928380234563,0.6,0.825,0.774193548387097,0.673469387755102,0.774193548387097,0.6,0.676056338028169,0.5,0.3,0.3875,0.7125,"PRJDB4176","VogtmannE_2016"
0.649122807017544,0.303391384051329,0.554138000656654,0.736151236191794,0.535087719298246,0.00900415274955632,0.154728923485379,0.590163934426229,0.716981132075472,0.705882352941176,0.603174603174603,0.705882352941177,0.590163934426229,0.642857142857143,0.535087719298246,0.315789473684211,0.447368421052632,0.653572533250851,"ZellerG_2014","VogtmannE_2016"
0.7578125,0.50499001996008,0.674188875552579,0.829131904839679,0.5859375,3.51445084203172e-05,0.719437544423391,0.735849056603774,0.773333333333333,0.696428571428571,0.805555555555556,0.696428571428571,0.735849056603774,0.715596330275229,0.4140625,0.3046875,0.4375,0.754591194968553,"YuJ_2015","VogtmannE_2016"
0.75,0.507658643326039,0.621403644520456,0.852813926200996,0.533333333333333,0.000464697631400898,0.0388671038124172,0.892857142857143,0.625,0.675675675675676,0.869565217391304,0.675675675675676,0.892857142857143,0.769230769230769,0.466666666666667,0.416666666666667,0.616666666666667,0.758928571428571,"ThomasAM_2018b","VogtmannE_2016"
0.584905660377358,0.207880434782609,0.441339811781245,0.718642042982191,0.547169811320755,0.34100184425055,0.0013837912401648,0.875,0.344827586206897,0.525,0.769230769230769,0.525,0.875,0.65625,0.452830188679245,0.39622641509434,0.754716981132076,0.609913793103448,"ThomasAM_2018a","VogtmannE_2016"
0.794392523364486,0.569022336140608,0.70542263164854,0.866432976231951,0.570093457943925,8.95001054441667e-07,0.0550088336292657,0.901639344262295,0.652173913043478,0.774647887323944,0.833333333333333,0.774647887323944,0.901639344262295,0.833333333333333,0.570093457943925,0.514018691588785,0.663551401869159,0.776906628652887,"FengQ_2015","VogtmannE_2016"
0.788461538461538,0.576923076923077,0.697431168960553,0.862427375825442,0.5,1.28415098489981e-09,0.0013837912401648,0.942307692307692,0.634615384615385,0.720588235294118,0.916666666666667,0.720588235294118,0.942307692307692,0.816666666666667,0.5,0.471153846153846,0.653846153846154,0.788461538461538,"VogtmannE_2016","VogtmannE_2016"
