"FPR","TPR","Predict","BaseModel"
0.573770491803279,0.716981132075472,"ZellerG_2014","PRJEB27928"
0.573770491803279,0.735849056603774,"ZellerG_2014","PRJEB27928"
0.573770491803279,0.754716981132076,"ZellerG_2014","PRJEB27928"
0.590163934426229,0.754716981132076,"ZellerG_2014","PRJEB27928"
0.622950819672131,0.754716981132076,"ZellerG_2014","PRJEB27928"
0.622950819672131,0.773584905660377,"ZellerG_2014","PRJEB27928"
0.639344262295082,0.773584905660377,"ZellerG_2014","PRJEB27928"
0.655737704918033,0.773584905660377,"ZellerG_2014","PRJEB27928"
0.672131147540984,0.773584905660377,"ZellerG_2014","PRJEB27928"
0.688524590163934,0.773584905660377,"ZellerG_2014","PRJEB27928"
0.704918032786885,0.773584905660377,"ZellerG_2014","PRJEB27928"
0.704918032786885,0.792452830188679,"ZellerG_2014","PRJEB27928"
0.721311475409836,0.792452830188679,"ZellerG_2014","PRJEB27928"
0.721311475409836,0.811320754716981,"ZellerG_2014","PRJEB27928"
0.737704918032787,0.811320754716981,"ZellerG_2014","PRJEB27928"
0.737704918032787,0.830188679245283,"ZellerG_2014","PRJEB27928"
0.754098360655738,0.830188679245283,"ZellerG_2014","PRJEB27928"
0.770491803278688,0.830188679245283,"ZellerG_2014","PRJEB27928"
0.786885245901639,0.830188679245283,"ZellerG_2014","PRJEB27928"
0.786885245901639,0.849056603773585,"ZellerG_2014","PRJEB27928"
0.80327868852459,0.849056603773585,"ZellerG_2014","PRJEB27928"
0.80327868852459,0.867924528301887,"ZellerG_2014","PRJEB27928"
0.819672131147541,0.867924528301887,"ZellerG_2014","PRJEB27928"
0.836065573770492,0.867924528301887,"ZellerG_2014","PRJEB27928"
0.852459016393443,0.867924528301887,"ZellerG_2014","PRJEB27928"
0.868852459016393,0.886792452830189,"ZellerG_2014","PRJEB27928"
0.868852459016393,0.905660377358491,"ZellerG_2014","PRJEB27928"
0.868852459016393,0.924528301886792,"ZellerG_2014","PRJEB27928"
0.868852459016393,0.943396226415094,"ZellerG_2014","PRJEB27928"
0.868852459016393,0.962264150943396,"ZellerG_2014","PRJEB27928"
0.885245901639344,0.962264150943396,"ZellerG_2014","PRJEB27928"
0.901639344262295,0.962264150943396,"ZellerG_2014","PRJEB27928"
0.901639344262295,0.981132075471698,"ZellerG_2014","PRJEB27928"
0.918032786885246,0.981132075471698,"ZellerG_2014","PRJEB27928"
0.934426229508197,0.981132075471698,"ZellerG_2014","PRJEB27928"
0.950819672131147,0.981132075471698,"ZellerG_2014","PRJEB27928"
0.967213114754098,0.981132075471698,"ZellerG_2014","PRJEB27928"
0.983606557377049,0.981132075471698,"ZellerG_2014","PRJEB27928"
0.983606557377049,1,"ZellerG_2014","PRJEB27928"
1,1,"ZellerG_2014","PRJEB27928"
0,0,"YuJ_2015","PRJEB27928"
0,0.0133333333333333,"YuJ_2015","PRJEB27928"
0.0188679245283019,0.0266666666666667,"YuJ_2015","PRJEB27928"
0.0188679245283019,0.04,"YuJ_2015","PRJEB27928"
0.0188679245283019,0.08,"YuJ_2015","PRJEB27928"
0.0188679245283019,0.106666666666667,"YuJ_2015","PRJEB27928"
0.0188679245283019,0.146666666666667,"YuJ_2015","PRJEB27928"
0.0188679245283019,0.173333333333333,"YuJ_2015","PRJEB27928"
0.0188679245283019,0.186666666666667,"YuJ_2015","PRJEB27928"
0.0188679245283019,0.2,"YuJ_2015","PRJEB27928"
0.0188679245283019,0.213333333333333,"YuJ_2015","PRJEB27928"
0.0188679245283019,0.226666666666667,"YuJ_2015","PRJEB27928"
0.0188679245283019,0.24,"YuJ_2015","PRJEB27928"
0.0188679245283019,0.266666666666667,"YuJ_2015","PRJEB27928"
0.0188679245283019,0.28,"YuJ_2015","PRJEB27928"
0.0188679245283019,0.293333333333333,"YuJ_2015","PRJEB27928"
