"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41"
"CCIS82507866ST.3.0","CCMD23541216ST.11.0","CCMD32965613ST.11.0","CCIS95409808ST.4.0","MMRS94549160ST.27.0.0","SID532779","CCMD56948710ST.11.0","SZAXPI015268.109","CCMD54057834ST.11.0","DRR127634","CRC_MR_SBJ34H_17","19.2076983950134","20.0546536827765","22.6179353895443","23.8487977285229","27.335959913901","30.2931876538076","32.323097162195","32.7689417844825","33.2153783149056","33.5547014838204","CCMD23101338ST.21.0","MMRS85382779ST.27.0.0","CCMD63399960ST.21.0","MMRS14602194ST.27.0.0","CRC_MR_SBJ32C_17","CCIS02379307ST.4.0","CCIS62794166ST.4.0","DRR127485","CCIS62605362ST.3.0","SZAXPI017466.84","18.5829258328364","21.7756159639217","30.1978327782078","31.1746788154024","32.1331833995062","32.2288018012615","32.2479753697003","32.7526446246712","32.9417263474776","33.5083028189567"
"CCIS88317640ST.4.0","CRC_MR_SBJ45H_17","CCMD54057834ST.11.0","CRC_MR_SBJ78H_17","CRC_MR_SBJ34H_17","CCIS11354283ST.4.0","CCMD89107682ST.11.0","CCMD56948710ST.11.0","DRR127634","SZAXPI015271.93","SZAXPI015268.109","20.2170807264798","21.4775160131497","22.8533527189907","23.4457192046267","23.7563196384036","23.7625846344016","24.2610358692349","24.5097497983354","24.8089044455353","25.1660634149364","CCIS47284573ST.4.0","CRC_MR_SBJ06C_17","SZAXPI015223.158","CCIS06260551ST.3.0","CCMD63399960ST.21.0","DRR127485","CRC_MR_SBJ32C_17","SID31871","SID531352","CCIS62605362ST.3.0","19.9890283316924","21.7294871401306","21.9724731363222","22.5381562507007","23.235313452224","23.337260754011","23.3502407369218","24.036085014538","24.0963802568041","24.1963429620387"
"CCIS94603952ST.4.0","SZAXPI015241.27","CCIS11354283ST.4.0","CRC_MR_SBJ65H_17","CCIS34604008ST.4.0","CCMD99929634ST.11.0","CRC_MR_SBJ34H_17","CRC_MR_SBJ80H_17","CCIS81139242ST.4.0","SZAXPI015271.93","CRC_MR_SBJ45H_17","17.0145294693829","18.6117584789455","20.3294309462587","21.1570359849295","21.5175493387839","22.2753443950436","23.7454542581101","24.2105158855899","24.4595896252881","24.5428884179511","DRR127485","CCIS47284573ST.4.0","CRC_MR_SBJ06C_17","CCMD13934959ST.21.0","CCIS48725289ST.4.0","MMRS93508324ST.27.0.0","CCMD49461418ST.11.0","CRC_MR_SBJ10C_17","CCMD63399960ST.21.0","MMRS77321055ST.27.0.0","20.1706273634139","20.4318170462541","20.7327694794087","22.387877857689","22.7298000500774","22.9014947967966","22.9893087543971","23.0449806181129","23.1807425508869","24.3633186085866"
"CCIS95409808ST.4.0","CCIS82507866ST.3.0","CCIS94603952ST.4.0","CCMD32965613ST.11.0","CRC_MR_SBJ34H_17","CCMD23541216ST.11.0","MMRS94549160ST.27.0.0","CCMD56948710ST.11.0","SZAXPI015241.27","CCIS11354283ST.4.0","SID532779","22.6179353895443","24.5728952827968","24.8048755413507","25.043852290143","25.6160683258146","25.8592132417172","26.0115434794093","26.2808889110053","26.4141435878338","26.9197099572079","MMRS85382779ST.27.0.0","SID531352","CCMD23101338ST.21.0","CCIS06260551ST.3.0","DRR127485","CCIS47284573ST.4.0","CRC_MR_SBJ10C_17","CRC_MR_SBJ32C_17","CCMD13934959ST.21.0","SZAXPI015223.158","21.7690614105753","24.382609766315","24.7485075909417","25.2449268264794","25.5510882535363","26.3045674698502","26.5550084603809","27.2274281219306","27.2709601679644","27.432524695815"
"CCMD18829815ST.11.0","CCIS64773582ST.4.0","CCMD56948710ST.11.0","CRC_MR_SBJ63H_17","SZAXPI015271.93","MMRS91297590ST.27.0.0","CCIS11354283ST.4.0","CRC_MR_SBJ65H_17","CRC_MR_SBJ82H_17","CCMD99929634ST.11.0","CCMD73128545ST.11.0","20.0683407655641","21.8528388513301","23.5824577473447","24.588496884092","25.1832402905722","25.2010402150487","25.7336356357084","26.4966314685603","26.7845409164895","26.8570456332896","CCIS48725289ST.4.0","MMRS14602194ST.27.0.0","CCMD13934959ST.21.0","CCIS02379307ST.4.0","DRR127559","CRC_MR_SBJ22C_17","DRR127485","LILT_VF264_T017","CCMD93344354ST.21.0","CCMD26709089ST.21.0","20.9333708850152","21.2144007523592","22.5141989527165","23.2169520729875","23.2419039361602","23.9084740877079","26.063338301764","26.349714242572","26.6728272341985","27.1443198274851"
"CCMD23541216ST.11.0","CCIS82507866ST.3.0","CCMD32965613ST.11.0","MMRS94549160ST.27.0.0","CCIS95409808ST.4.0","SID532779","MMRS84159866ST.27.0.0","CCMD56948710ST.11.0","MMRS11932626ST.27.0.0","CCMD54057834ST.11.0","MMRS61683006ST.27.0.0","19.2076983950134","24.8331572240563","25.0488112010451","25.6160683258146","30.1427207814955","32.1361517528842","34.6752407384059","34.9944830244569","35.4757295645178","36.4191341184782","CCMD23101338ST.21.0","MMRS85382779ST.27.0.0","MMRS51410669ST.27.0.0","CCMD63399960ST.21.0","MMRS93508324ST.27.0.0","MMRS14602194ST.27.0.0","CCIS62794166ST.4.0","SID31878","CRC_MR_SBJ32C_17","CCIS50148151ST.4.0","17.8604737629521","25.2661370699994","32.3096578775805","35.9881643789316","36.180031494334","36.3823907446377","36.5154769041485","36.663780502335","37.0696921308783","37.1178639696858"
"CCMD26625622ST.11.0","DRR127634","CCIS64773582ST.4.0","CCMD18829815ST.11.0","SZAXPI015270.90","SZAXPI003429.3","CRC_MR_SBJ63H_17","LILT_VF279_T016","MMRS11932626ST.27.0.0","CCMD56948710ST.11.0","CRC_MR_SBJ45H_17","26.905628800344","30.6043546002003","31.385992549142","31.861017170883","32.596157264739","32.6164047628873","32.6670366673701","32.7751980349227","32.8121825905836","32.9597925221762","CCMD93344354ST.21.0","CCMD63399960ST.21.0","CCMD26709089ST.21.0","MMRS14602194ST.27.0.0","CRC_MR_SBJ22C_17","CCIS48725289ST.4.0","CCMD13934959ST.21.0","CCIS02379307ST.4.0","DRR127559","CCIS62794166ST.4.0","23.9024736008891","28.1887491972986","29.8455588757389","30.0290235095832","30.1158241689481","31.147761942496","31.3439035491003","32.0155902938834","32.6753164630352","32.7016317450368"
"CCMD32965613ST.11.0","CCIS82507866ST.3.0","MMRS94549160ST.27.0.0","CCIS95409808ST.4.0","CCMD23541216ST.11.0","SID532779","SZAXPI015271.93","CCMD56948710ST.11.0","CCMD54057834ST.11.0","CRC_MR_SBJ78H_17","SZAXPI015268.109","20.0546536827765","21.8860520479574","24.8048755413507","24.8331572240563","26.0301094934213","26.9864285257257","27.1228610491574","29.9479409817119","30.0084698908692","30.1909556241402","MMRS85382779ST.27.0.0","CCMD23101338ST.21.0","DRR127485","CCMD63399960ST.21.0","DRR127774","CCIS62605362ST.3.0","CCIS47284573ST.4.0","SID31878","CCIS48725289ST.4.0","CRC_MR_SBJ06C_17","21.1488288184216","22.1081480262685","26.6307385718215","27.2101277273095","28.2053997602214","28.7434505018343","28.8587716473588","29.0359385971609","29.119011546124","29.4503745485333"
"CCMD45004878ST.11.0","CCMD73128545ST.11.0","SID532779","SID530167","CRC_MR_SBJ45H_17","SZAXPI015268.109","MMRS21365932ST.27.0.0","CRC_MR_SBJ34H_17","MMRS11932626ST.27.0.0","CRC_MR_SBJ65H_17","CRC_MR_SBJ78H_17","15.6075430133606","22.5521637762167","23.6647755021805","23.8787071841421","24.6701317923273","25.2678362727183","25.6492177019846","25.8559969171158","26.9929800353518","27.8029387821288","SID531128","CCMD45988061ST.21.0","CRC_MR_SBJ32C_17","SZAXPI017466.84","CCMD13934959ST.21.0","MMRS78791111ST.27.0.0","CCIS87116798ST.4.0","DRR127485","MMRS14602194ST.27.0.0","SID531352","17.1066045640682","17.9522228345907","18.8740824615503","19.8982090886542","20.2711252541589","20.5065147639988","20.803785435711","22.552638391042","23.1589731834941","24.90941646894"
"CCMD45812507ST.11.0","CRC_MR_SBJ80H_17","CRC_MR_SBJ65H_17","CCMD98702133ST.11.0","CCMD98198513ST.11.0","CCIS11354283ST.4.0","CCMD99929634ST.11.0","CCMD18829815ST.11.0","CCIS94603952ST.4.0","CCMD51154251ST.11.0","CCMD73128545ST.11.0","19.2024709756896","20.0607415362319","21.1290721831296","23.9063628392359","25.375621352164","25.752712167432","27.0311994943935","29.7567916090294","32.3537010413415","32.5248347110896","CRC_MR_SBJ22C_17","CCMD13934959ST.21.0","CCMD26709089ST.21.0","CCIS48725289ST.4.0","CCMD93344354ST.21.0","CCMD49461418ST.11.0","MMRS77321055ST.27.0.0","CCMD63399960ST.21.0","MMRS14602194ST.27.0.0","DRR127485","18.2015408422721","22.7945673994046","26.0629841731353","26.749197560841","27.2998678962353","30.833718243316","31.3408476433791","31.5128682315257","31.7460499401138","32.6080934627816"
