"AUC","FeatureCount","Sampling","RepeatTimes"
0.791338076461512,30,160,8
0.807185410594891,30,160,7
0.801795816903823,30,160,6
0.806901465798046,30,160,5
0.843701782959026,30,160,4
0.817005614606549,30,160,3
0.824212489436722,30,160,2
0.813780342104497,30,160,1
0.827824549418312,30,140,10
0.815683457573992,30,140,9
0.784961522232715,30,140,8
0.820385179529426,30,140,7
0.799232453937189,30,140,6
0.808615805019189,30,140,5
0.823519660833049,30,140,4
0.779425947879202,30,140,3
0.799305009179124,30,140,2
0.796452924206661,30,140,1
0.819774795182542,30,120,10
0.79470117416091,30,120,9
0.809213010155926,30,120,8
0.767149922603541,30,120,7
0.801572469513347,30,120,6
0.800907048740892,30,120,5
0.802266206063352,30,120,4
0.774535621248159,30,120,3
0.79256636652388,30,120,2
0.816628784567416,30,120,1
0.836151139856785,30,100,10
0.809249453615026,30,100,9
0.806712983528492,30,100,8
0.831922208994475,30,100,7
0.77563123012136,30,100,6
0.821736349259938,30,100,5
0.813776008813234,30,100,4
0.818733452975355,30,100,3
0.806072791910715,30,100,2
0.791200425445115,30,100,1
0.766063769184371,30,80,10
0.807184505059983,30,80,9
0.785972790027478,30,80,8
0.773017056497554,30,80,7
0.796721064271832,30,80,6
0.788506970042222,30,80,5
0.813471784732927,30,80,4
0.797311674820722,30,80,3
0.781372934697089,30,80,2
0.810170615147012,30,80,1
0.779257465698144,30,60,10
0.717616990298944,30,60,9
0.748737913244394,30,60,8
0.731622592539841,30,60,7
0.760804886926522,30,60,6
0.736136827612401,30,60,5
0.783213850511957,30,60,4
0.760733671999873,30,60,3
0.806695661042632,30,60,2
0.796256228691319,30,60,1
0.743689552953858,30,40,10
0.697959397550678,30,40,9
0.770334910321287,30,40,8
0.71887444980088,30,40,7
0.771064766296374,30,40,6
0.722486301164776,30,40,5
0.820751115369645,30,40,4
0.707649639189149,30,40,3
0.756782352769763,30,40,2
0.744270332488271,30,40,1
0.720441035055512,30,30,10
0.601483958387971,30,30,9
0.682398665384503,30,30,8
0.596817903662908,30,30,7
0.734439199230702,30,30,6
0.659611125681149,30,30,5
0.800856718244601,30,30,4
0.653065536031705,30,30,3
0.795283678643238,30,30,2
0.758822158114054,30,30,1
0.837072773773541,20,400,10
0.834573355033713,20,400,9
0.828150430132527,20,400,8
0.81732445942804,20,400,7
0.812005928853755,20,400,6
0.818443385259242,20,400,5
0.824909904673332,20,400,4
0.822308765403395,20,400,3
0.804320744820351,20,400,2
0.80246306495323,20,400,1
0.825084654267066,20,200,10
0.834899641752957,20,200,9
0.796363547136478,20,200,8
0.841113755704961,20,200,7
0.796903371448202,20,200,6
0.823391568925749,20,200,5
0.816429062177945,20,200,4
0.80766305147961,20,200,3
0.80209517148935,20,200,2
0.813401521111985,20,200,1
0.800825717492384,20,180,10
0.803763256144208,20,180,9
0.799846537941776,20,180,8
0.825465539751254,20,180,7
0.801094848713897,20,180,6
0.813102682150301,20,180,5
0.811213037403514,20,180,4
0.797126594745642,20,180,3
0.807573505842585,20,180,2
0.803770725879302,20,180,1
0.803579847419852,20,160,10
0.79378643065318,20,160,9
0.78295902623007,20,160,8
0.80670859763415,20,160,7
0.763190039430825,20,160,6
0.809376607234699,20,160,5
0.832863663637922,20,160,4
0.821168352477285,20,160,3
0.817965585569834,20,160,2
0.811791531893813,20,160,1
0.826217123108762,20,140,10
0.812177258936285,20,140,9
0.811057083726818,20,140,8
0.819270027527175,20,140,7
0.786779923245393,20,140,6
0.79034137716249,20,140,5
0.819516164680825,20,140,4
0.812769997387932,20,140,3
0.800754727977387,20,140,2
0.786796631407174,20,140,1
0.825721108468305,20,120,10
0.806881677804205,20,120,9
0.831681579642844,20,120,8
0.786796352927852,20,120,7
0.80466832785895,20,120,6
0.799297768716729,20,120,5
0.798915505719788,20,120,4
0.779254917506701,20,120,3
0.759390389602821,20,120,2
0.806539033132267,20,120,1
0.82715577746584,20,100,10
0.805233746157536,20,100,9
0.797606567280869,20,100,8
0.821007835960128,20,100,7
0.758382345102081,20,100,6
0.808289948293324,20,100,5
0.822358250857336,20,100,4
0.806717425682759,20,100,3
0.788381123058543,20,100,2
0.791029227496576,20,100,1
0.761611152067556,20,80,10
0.802275316667784,20,80,9
0.775785805240936,20,80,8
0.743214261778701,20,80,7
0.794320923530594,20,80,6
0.767781147376181,20,80,5
0.805437805777093,20,80,4
0.794769117351384,20,80,3
0.779868578255675,20,80,2
0.772295800914998,20,80,1
0.711579547073067,20,60,10
0.717431040212695,20,60,9
0.732884679295446,20,60,8
0.727250787320578,20,60,7
0.752520217126399,20,60,6
0.719116460143379,20,60,5
0.780317776828245,20,60,4
0.761263827564924,20,60,3
0.800711017862867,20,60,2
0.784931666520966,20,60,1
0.70203910530886,20,40,10
0.696653142497829,20,40,9
0.747481061173159,20,40,8
0.704558044135701,20,40,7
0.773651076443992,20,40,6
0.713215258855587,20,40,5
0.814616582327755,20,40,4
0.707904153067641,20,40,3
0.778156598770289,20,40,2
0.749176792843197,20,40,1
0.720732435818981,20,30,10
0.576434420258181,20,30,9
0.643132412506921,20,30,8
0.553661450593,20,30,7
0.669959495293878,20,30,6
0.69119168342221,20,30,5
0.80390914124195,20,30,4
