"Increasing.Rank.Min","Decreasing.Rank.Min","Increasing.Rank.Max","Decreasing.Rank.Max","Increasing.Rank.Average","Decreasing.Rank.Average","Decre.maxRank.P","Decre.aveRank.P","Decre.minRank.P","Species","Decre.minRank.P.FDR","Decre.maxRank.P.FDR","Decre.aveRank.P.FDR"
8889,1057,8945,1113,8917,1085,0.111288871112889,0.108489151084892,0.105689431056894,"Parabacteroides_unclassified",0.184443448858998,1,0.667234385618739
8379,578,9424,1623,8901.5,1100.5,0.162283771622838,0.11003899610039,0.0577942205779422,"Slackia_unclassified",0.10600521580495,1,0.667234385618739
8711,984,9018,1291,8864.5,1137.5,0.129087091290871,0.113738626137386,0.0983901609839016,"Klebsiella_unclassified",0.172542745725427,1,0.667234385618739
8757,1200,8802,1245,8779.5,1222.5,0.124487551244876,0.122237776222378,0.11998800119988,"Ruminococcaceae_bacterium_D16",0.203470219015834,1,0.667234385618739
8579,1127,8875,1423,8727,1275,0.142285771422858,0.127487251274873,0.112688731126887,"Roseburia_unclassified",0.192454151259458,1,0.667234385618739
8694,1256,8746,1308,8720,1282,0.130786921307869,0.128187181281872,0.125587441255874,"Eggerthella_lenta",0.211965657894304,1,0.667234385618739
8249,881,9121,1753,8685,1317,0.175282471752825,0.131686831316868,0.0880911908809119,"Lactobacillus_gasseri",0.15562055588053,1,0.667234385618739
7306,1,10001,2696,8653.5,1348.5,0.26957304269573,0.134836516348365,9.99900009999e-05,"Propionibacterium_freudenreichii",0.000196428444587235,1,0.667234385618739
7285,1,10001,2717,8643,1359,0.271672832716728,0.135886411358864,9.99900009999e-05,"Campylobacter_ureolyticus",0.000196428444587235,1,0.667234385618739
7285,1,10001,2717,8643,1359,0.271672832716728,0.135886411358864,9.99900009999e-05,"Prevotella_nigrescens",0.000196428444587235,1,0.667234385618739
8624,1353,8649,1378,8636.5,1365.5,0.137786221377862,0.136536346365363,0.135286471352865,"Subdoligranulum_variabile",0.226738864575081,1,0.667234385618739
8183,914,9088,1819,8635.5,1366.5,0.181881811818818,0.136636336366363,0.0913908609139086,"Bacteroides_coprophilus",0.161011771683467,1,0.667234385618739
7269,1,10001,2733,8635,1367,0.273272672732727,0.136686331366863,9.99900009999e-05,"Mogibacterium_sp_CM50",0.000196428444587235,1,0.667234385618739
7266,1,10001,2736,8633.5,1368.5,0.273572642735726,0.136836316368363,9.99900009999e-05,"Proteus_unclassified",0.000196428444587235,1,0.667234385618739
7258,1,10001,2744,8629.5,1372.5,0.274372562743726,0.137236276372363,9.99900009999e-05,"Porphyromonas_endodontalis",0.000196428444587235,1,0.667234385618739
7257,1,10001,2745,8629,1373,0.274472552744726,0.137286271372863,9.99900009999e-05,"Actinomyces_cardiffensis",0.000196428444587235,1,0.667234385618739
