"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
"CRC_MR_SBJ29C_17","SID31328","MMRS57276462ST.27.0.0","CCIS07648107ST.4.0","SZAXPI015255.46","SZAXPI015235.21","CCIS03473770ST.4.0","CCIS05314658ST.4.0","MMPU29365221ST","22.7859298296624","25.9481313725864","27.2073421957089","27.4520566462624","27.5140020333847","27.8387148586874","27.9958925966382","28.2307243233078","DRR162778","SID31875","MMRS65205033ST.27.0.0","CCMD49461418ST.11.0","CCIS62794166ST.4.0","MMRS55294627ST.27.0.0","CCIS81887263ST.4.0","CCMD86707194ST.21.0","28.1227053517403","28.5911560510274","29.0240174178076","29.0556517101768","29.2702234195949","29.5903457756952","30.0327611106105","30.2056191294915"
"CRC_MR_SBJ35C_17","SID530055","CCMD37575804ST.11.0","CRC_MR_SBJ75H_17","CCIS05314658ST.4.0","SID31021","MMPU84450604ST","CCIS03473770ST.4.0","CCIS50471204ST.4.0","21.7588379299608","24.1212361470676","26.0876445429652","26.5702714817124","27.0269459857528","28.6420340649892","28.8456698755481","28.8847194059749","SID531416","CCMD51864103ST.21.0","MMRS55294627ST.27.0.0","CCMD86707194ST.21.0","CCMD82866709ST.21.0","CCIS71301801ST.4.0","CCMD25963797ST.21.0","MMRS65205033ST.27.0.0","20.4747538680005","25.0594985351104","26.5325673424077","28.428053164385","28.6705945313888","29.2633164769511","29.417785786449","30.6991605675823"
"CRC_MR_SBJ51C_17","MMRS57276462ST.27.0.0","SID31328","MMRS88581325ST.27.0.0","SID31700","CCIS03473770ST.4.0","CRC_MR_SBJ78H_17","CCMD66848156ST.11.0","SZAXPI015255.46","23.8054618681134","24.4532094744575","24.4874622928081","24.6825796639513","25.088392042068","26.0070399327086","26.1027402785627","26.2630271319549","CCMD82866709ST.21.0","SID31875","CCMD52145360ST.11.0","MMRS54316675ST.27.0.0","DRR162778","MMRS65205033ST.27.0.0","SZAXPI015223.158","CCMD49461418ST.11.0","24.7888887256145","25.5991669355509","27.1972209882517","27.322756266109","28.3961557202661","28.5072984788983","28.9462753479839","29.0218904153554"
"DRR127478","DRR127588","MMRS36405092ST.27.0.0","SZAXPI015244.32","DRR127672","CCIS48174381ST.4.0","CCIS50471204ST.4.0","CCIS07648107ST.4.0","SZAXPI015268.109","30.5579966769944","31.8492749668607","33.6180200392914","33.887142326769","34.5645528631718","35.3161150154586","35.4677859783833","35.5361237242345","SID531766","SZAXPI003426.11","CCIS62794166ST.4.0","CCMD65406197ST.11.0","DRR162779","MMRS41266697ST.27.0.0","MMRS65205033ST.27.0.0","SZAXPI015237.23","32.1839998389464","32.3007723763039","32.8745676501273","33.2375604280714","34.205119034836","34.7545584970662","34.8401371704791","35.0857081659826"
"DRR127509","SZAXPI015268.109","CCIS07648107ST.4.0","MMRS68630931ST.27.0.0","CCIS05314658ST.4.0","DRR127755","SZAXPI015247.35","CCIS48174381ST.4.0","CCIS50471204ST.4.0","24.1060143691673","24.7163185261681","25.8383577360153","26.8101293251879","27.1008133029712","27.3621554665764","28.0459907942757","29.1766457900853","CCIS62794166ST.4.0","MMRS55294627ST.27.0.0","CRC_MR_SBJ11C_17","SZAXPI015237.23","CRC_MR_SBJ26C_17","SZAXPI003426.11","MMRS41266697ST.27.0.0","DRR162779","25.0513035267987","26.7616397061989","27.9424186593591","28.1526781044095","28.2496678532616","28.8654829105317","29.1636670794055","29.4078875617053"
"DRR127700","CCIS03473770ST.4.0","MMRS88581325ST.27.0.0","SZAXPI015268.109","DRR127588","SID31700","CCMD66848156ST.11.0","CCMD22852639ST.11.0","CRC_MR_SBJ78H_17","32.8781178921285","33.0994251646294","33.7027545906488","34.1281235392542","34.2043199749988","34.9208508354006","35.6978260348946","35.8197875538354","CCIS71301801ST.4.0","CCMD82866709ST.21.0","CCIS62794166ST.4.0","CCMD52145360ST.11.0","CCMD42428553ST.21.0","CCMD65406197ST.11.0","CCMD11006829ST.21.0","MMRS65205033ST.27.0.0","33.3243549677499","33.8850217146323","34.4481324248093","35.5148553254719","35.7703853299807","35.7736643930042","35.8053543501276","35.9000403571946"
"DRR127754","CCMD41202658ST.11.0","DRR127737","DRR127613","SZAXPI015264.87","CCIS16383318ST.4.0","MMPU29365221ST","MMRS88581325ST.27.0.0","SZAXPI015235.21","18.869099220718","20.0311416334591","27.599019082317","31.1536103878202","31.2880704828438","35.452821789828","36.5999722972518","36.6787006147846","SZAXPI017468.88","CCIS40244499ST.3.0","MMRS54316675ST.27.0.0","MMRS34525504ST.27.0.0","SZAXPI017467.87","MMRS44587603ST.27.0.0","SZAXPI017584.108","SID531361","22.0431975363285","23.3989197675662","24.0506182473487","24.3816271629356","26.6196661156991","30.742648139282","30.7848711575881","35.2126914906401"
"DRR127789","CCIS50471204ST.4.0","SID31009","MMRS88581325ST.27.0.0","SID31328","CCMD37575804ST.11.0","CCIS03473770ST.4.0","SZAXPI015268.109","SZAXPI015261.75","27.2014787437264","29.0501648830157","29.4464251262254","30.0070965422881","30.3895990023643","30.391503888564","30.51188982135","30.6445249713583","MMRS55294627ST.27.0.0","MMRS65205033ST.27.0.0","CCMD11006829ST.21.0","CCMD64503764ST.21.0","CCMD82866709ST.21.0","CCMD52145360ST.11.0","CCIS62794166ST.4.0","CRC_MR_SBJ11C_17","28.0058790524436","28.9980589371306","29.8151230975339","29.9670143004271","30.6447459964804","30.988778506603","31.0131757590077","31.2997681971672"
"DRR162778","SZAXPI015235.21","SID31328","CRC_MR_SBJ78H_17","DRR127777","MMRS88581325ST.27.0.0","CCIS05314658ST.4.0","CCIS03473770ST.4.0","CCIS48174381ST.4.0","19.5953825929452","20.9290915467514","21.2479732862854","22.3895529509032","22.7389011547942","23.0666773701047","23.2036733829948","23.2382637425002","MMRS55294627ST.27.0.0","SID31875","MMRS65205033ST.27.0.0","CCIS81887263ST.4.0","CCIS71301801ST.4.0","DRR127481","CCMD82866709ST.21.0","CCMD11006829ST.21.0","21.8327506701561","23.0223674832064","23.440466537213","23.7766996594397","24.1377378751531","24.2766897568903","24.3169503478438","24.3587916756066"
"LILT_VF234_T017","SZAXPI015244.32","SZAXPI015235.21","SZAXPI015268.109","SID31328","MMRS88581325ST.27.0.0","SZAXPI015261.75","CCIS03473770ST.4.0","CRC_MR_SBJ78H_17","22.7722599457037","25.6049907390805","26.3737798629358","27.0199169304423","27.2499696212124","27.3623078017407","28.5415263064609","28.6245895853163","CCIS62794166ST.4.0","SZAXPI003426.11","MMRS41266697ST.27.0.0","CCMD82866709ST.21.0","DRR162778","MMRS55294627ST.27.0.0","CCIS76845094ST.20.0","MMRS44587603ST.27.0.0","22.9262049382383","25.3126174674311","25.8501897900093","26.1147239926215","27.6262607644303","27.86555089803","29.1738851773757","29.2123442944126"
