"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"CCMD53522274ST.11.0","DRR127613","CCIS15794887ST.4.0","CRC_MR_SBJ67H_17","SZAXPI015271.93","SZAXPI015258.57","CRC_MR_SBJ84H_17","CCIS07539127ST.4.0","23.0634437868719","28.685349943499","29.1445173846025","29.1472362654232","29.1718371774662","29.9935220533068","30.7698174236117","CRC_MR_SBJ49C_17","CCIS77252613ST.4.0","CCIS84543192ST.4.0","DRR127594","SID31868","DRR127754","CCIS62605362ST.3.0","18.9631191277701","20.997050135188","23.4465703273187","24.9362888442767","25.9232932419571","26.5090499258291","28.47765397892"
"CCMD54057834ST.11.0","SZAXPI015244.32","CRC_MR_SBJ84H_17","CCIS07539127ST.4.0","SID530050","SZAXPI015271.93","CCIS15794887ST.4.0","SZAXPI015258.57","20.5065218638803","20.6165818511362","20.7999973661873","21.2896650127333","21.9032190015121","23.1550628022253","24.0960486025863","SZAXPI017454.20","CRC_MR_SBJ07C_17","SZAXPI003422.11","CCIS62605362ST.3.0","LILT_VF270_T017","SID530890","CCIS77252613ST.4.0","9.10434438386971","20.0796644844131","20.7127752027366","20.9826030199091","21.9350578442935","22.4637918249858","23.1430409144218"
"CRC_MR_SBJ67H_17","CCIS71578391ST.4.0","CRC_MR_SBJ73H_17","CCMD39157124ST.11.0","SZAXPI015255.46","SID530050","CRC_MR_SBJ84H_17","CCIS15794887ST.4.0","20.6611924149987","21.0782959411168","21.7768133603151","21.9710962790435","22.0843359942019","22.9658881987395","23.7958611710146","CRC_MR_SBJ42C_17","CCMD86707194ST.21.0","MMRS90191266ST.27.0.0","CCIS77252613ST.4.0","SID530890","CCMD71242853ST.11.0","CCMD90311071ST.21.0","21.5474196671713","22.6686412684064","22.8489208031802","22.989347984682","23.0045179849546","23.6909760143097","24.1283274618362"
"CRC_MR_SBJ69H_17","CCMD28738636ST.11.0","CCIS07539127ST.4.0","CRC_MR_SBJ84H_17","CCMD53508245ST.11.0","SZAXPI015271.93","CCMD54057834ST.11.0","SID31071","25.0898983893857","25.5142862307434","26.0848063970676","27.3893165179455","27.9439798473177","29.6609718078168","29.8538030846524","CCMD52117727ST.11.0","DRR127509","MMRS96422329ST.27.0.0","SZAXPI017454.20","CRC_MR_SBJ07C_17","CCMD90311071ST.21.0","CCMD86707194ST.21.0","24.3731579895589","28.5826742578559","29.0096283364127","30.1167122933663","30.2846803372316","30.5492053119864","31.1053123625724"
"CRC_MR_SBJ73H_17","CCIS71578391ST.4.0","SZAXPI015255.46","CRC_MR_SBJ67H_17","CRC_MR_SBJ84H_17","SZAXPI015271.93","CCMD53508245ST.11.0","SID31071","12.4977093980737","18.8380234266682","21.0782959411168","21.986916241863","21.9889240732079","23.2284787166185","23.3020109015424","CCMD86707194ST.21.0","SZAXPI017594.166","SID530890","MMRS90191266ST.27.0.0","CRC_MR_SBJ42C_17","CCMD90311071ST.21.0","MMRS96422329ST.27.0.0","18.2553459707287","19.2780154247422","19.3544128797957","21.3861294443221","23.0358962392198","23.0614812076653","24.1906291022495"
"CRC_MR_SBJ78H_17","CCIS07539127ST.4.0","CCIS71578391ST.4.0","SID31071","SZAXPI015255.46","CCIS15794887ST.4.0","LILT_VF263_T016","SZAXPI015258.57","19.069340274139","21.7314602492861","21.7383384303861","22.5448588476863","22.6490709125319","22.7904533383981","23.0070933084668","SID530890","MMRS96422329ST.27.0.0","SZAXPI017594.166","LILT_VF73_16","SZAXPI017454.20","CCIS62605362ST.3.0","MMRS90191266ST.27.0.0","19.5604936109854","21.9187574740449","22.6999121554159","23.6177297702277","23.826048047043","23.8481375041281","24.1023170853115"
"CRC_MR_SBJ79H_17","SID530295","CRC_MR_SBJ78H_17","SZAXPI015255.46","SID532796","CCIS07539127ST.4.0","CCMD53508245ST.11.0","CCIS71578391ST.4.0","21.3987805009187","23.5067877511369","23.6050224900105","24.1661325065348","24.4061617080872","24.5088705714237","25.2118254508257","SID530890","MMRS96422329ST.27.0.0","SID31285","SID531469","SID531382","CRC_MR_SBJ10C_17","CCMD65406197ST.11.0","20.2129680455345","21.5612071787087","21.6358305409222","22.2661299731341","24.7695852800284","24.9545742156143","25.5124927044144"
"CRC_MR_SBJ84H_17","SZAXPI015271.93","CCMD54057834ST.11.0","CCIS15794887ST.4.0","CCIS07539127ST.4.0","SZAXPI015244.32","SID530050","CCIS71578391ST.4.0","19.7966228305588","20.6165818511362","21.1996006875365","21.2555218953711","21.6044363036391","21.8553071475145","21.908436525138","SZAXPI017454.20","CCIS62605362ST.3.0","SID530890","MMRS90191266ST.27.0.0","CCIS77252613ST.4.0","LILT_VF270_T017","DRR127559","20.783841251263","20.8941515491608","21.1129020851966","21.4199928435282","21.545032298704","22.3220066029311","22.3227523227469"
"DRR127583","DRR127588","MMRS91297590ST.27.0.0","SZAXPI015271.93","CRC_MR_SBJ84H_17","CCIS07539127ST.4.0","CRC_MR_SBJ73H_17","CCIS71578391ST.4.0","24.9282653685851","31.1282774871804","32.0174085918614","32.1775591666677","32.3483740980069","32.7706483023009","33.2024213311048","MMRS96422329ST.27.0.0","LILT_VF73_16","CCMD90311071ST.21.0","MMRS90191266ST.27.0.0","LILT_VF270_T017","DRR127579","DRR127559","31.4407581318056","31.8542129376225","32.0827844418997","32.1187785339667","33.351470009211","33.5761336101642","33.779148952555"
"DRR127613","CCMD53522274ST.11.0","CRC_MR_SBJ67H_17","CRC_MR_SBJ73H_17","CCIS15794887ST.4.0","CCIS71578391ST.4.0","CRC_MR_SBJ84H_17","SZAXPI015271.93","23.0634437868719","28.5555883106267","33.5947698762813","34.4809071703544","34.8481301596915","35.1671188858769","36.6473732129685","CRC_MR_SBJ49C_17","CCIS84543192ST.4.0","DRR127594","CCIS77252613ST.4.0","DRR127754","SID31868","SZAXPI015215.20","19.5177678482044","20.0007394975711","23.7619565617312","25.0100470055536","27.599019082317","28.4909242509066","31.3089348887853"
