"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37"
"LILT_VF207_T017","CCMD32288175ST.11.0","LILT_VF40_16","DRR127649","SZAXPI015235.21","MMRS97307143ST.27.0.0","CCMD93755960ST.11.0","CCMD50529145ST.11.0","LILT_VF189_T016","CCMD59540613ST.11.0","19.2601275047675","19.6168110857422","22.8215878303395","23.0552838208685","23.5755968545358","23.6127245635759","23.8417624490724","24.1797493189901","26.3602710276393","MMRS14602194ST.27.0.0","CCIS11015875ST.4.0","SZAXPI017588.123","SID31875","SZAXPI015218.16","CRC_MR_SBJ01C_17","DRR127485","CCIS53043478ST.4.0","SID531277","20.2851755687497","21.680381092045","22.1867921817734","22.8959133712045","22.9132534954576","24.2152847592796","25.2801971356297","25.4509081402295","25.6157550145687"
"LILT_VF300_T016","CCMD59540613ST.11.0","SZAXPI015268.109","DRR127731","CCIS45793747ST.4.0","CRC_MR_SBJ18H_17","SZAXPI015235.21","DRR127649","CCIS02124300ST.4.0","SZAXPI003433.7","19.8156151898749","20.8611085227991","21.4189342276477","22.5196982464286","24.0206930063664","24.4247548868029","24.7143571042643","25.1354226042034","25.7742269394564","CCIS53043478ST.4.0","SZAXPI015218.16","SZAXPI017588.123","MMRS90191266ST.27.0.0","DRR127485","DRR162778","SID530890","CCIS11015875ST.4.0","CRC_MR_SBJ01C_17","20.1355013004395","22.394387011412","23.448326604694","23.4884211614425","23.7003013083948","23.7665555284711","24.106031178927","24.1080576725563","24.5668337391899"
"MMRS43563715ST.27.0.0","CRC_MR_SBJ83H_17","CCMD29706695ST.11.0","MMRS35808664ST.27.0.0","SZAXPI015235.21","DRR127649","CCIS02124300ST.4.0","CCIS16561622ST.4.0","CCIS45793747ST.4.0","MMRS65742083ST.27.0.0","25.5831757992885","26.4544436348111","26.7496362626635","26.8382120086827","27.0739525824454","27.0832249578572","27.266349660081","27.4345112816321","29.0060669142854","MMRS93508324ST.27.0.0","MMRS44587603ST.27.0.0","CCIS53043478ST.4.0","MMRS14602194ST.27.0.0","CRC_MR_SBJ31C_17","SZAXPI017588.123","SZAXPI017458.25","CCIS11015875ST.4.0","CCIS40244499ST.3.0","22.316712145473","23.3072815577557","23.7582659725747","26.1703208583005","26.2832575309759","26.9540437097405","26.9972088667681","27.0948916768586","27.5087241096638"
"MMRS44587603ST.27.0.0","SZAXPI015235.21","CCMD29706695ST.11.0","CRC_MR_SBJ83H_17","MMRS35808664ST.27.0.0","LILT_VF40_16","DRR127649","CCIS02124300ST.4.0","LILT_VF189_T016","CCMD93755960ST.11.0","19.9339395680909","20.2252043569082","22.4448142323745","25.8702567210745","25.9886970766101","26.0571647346713","26.1871571956484","26.2242060312205","26.3171282153809","SZAXPI017588.123","CRC_MR_SBJ31C_17","MMRS43563715ST.27.0.0","CCIS53043478ST.4.0","SZAXPI017458.25","MMRS93508324ST.27.0.0","MMRS90191266ST.27.0.0","SZAXPI015218.16","DRR127485","19.3596156343069","22.776127478215","23.3072815577557","23.4750291891725","23.6770702483225","23.7351132379098","24.0299827807346","24.0498060599207","24.6725787360543"
"MMRS90191266ST.27.0.0","CCIS45571137ST.3.0","CCIS94603952ST.4.0","DRR127649","CCMD93755960ST.11.0","CCIS07277498ST.4.0","CRC_MR_SBJ73H_17","CCMD39157124ST.11.0","CCIS45793747ST.4.0","CRC_MR_SBJ18H_17","15.6931572618227","18.5071867543368","20.0032200006799","20.2687903276244","20.8353798250908","21.3861294443221","21.8826991998474","21.9216966845429","22.8651955672109","CCMD82866709ST.21.0","CCIS53043478ST.4.0","SID31875","DRR127485","MMRS93508324ST.27.0.0","CCIS48725289ST.4.0","SZAXPI017588.123","MMRS14602194ST.27.0.0","CCIS11015875ST.4.0","16.2112822641116","17.8864400229084","18.6224366481618","19.6106516904564","20.2064268282594","20.3364226412267","20.3627357589912","20.3992372313158","21.1477519609816"
"MMRS93508324ST.27.0.0","MMRS93621581ST.27.0.0","CCMD59540613ST.11.0","CCIS02124300ST.4.0","CCIS45793747ST.4.0","CCIS45571137ST.3.0","CRC_MR_SBJ18H_17","DRR127649","SZAXPI003433.7","CCIS94603952ST.4.0","20.7026503728291","21.1518711230212","21.3615416169199","21.4110010350777","21.4147404694967","21.5601052641401","21.8257872986108","22.2456618892201","22.9014947967966","CCIS53043478ST.4.0","MMRS90191266ST.27.0.0","MMRS14602194ST.27.0.0","CCMD82866709ST.21.0","SZAXPI017588.123","CCIS11015875ST.4.0","SZAXPI015218.16","CCIS48725289ST.4.0","MMRS43563715ST.27.0.0","17.1737313847894","20.2064268282594","20.4206352107396","20.8722589580405","20.8859873827957","21.2938455718031","21.3884044416455","21.8124332357167","22.316712145473"
"SID31237","CCIS29688262ST.20.0","CRC_MR_SBJ18H_17","SID31700","CCIS02124300ST.4.0","CCIS07277498ST.4.0","CCIS45793747ST.4.0","CRC_MR_SBJ34H_17","SID530315","DRR127634","32.8374848867008","33.6671887868931","34.5048342395178","34.7947834609744","35.0181203634932","35.1009964947037","35.6381078039618","36.0203909299441","36.0445758498196","CCIS53043478ST.4.0","SID530890","CRC_MR_SBJ01C_17","CRC_MR_SBJ31C_17","SZAXPI015218.16","CCIS48725289ST.4.0","SID531277","DRR127521","SID31871","31.3686917078255","33.365751595302","33.6416707533945","33.7238275550507","33.7996907166959","34.0934361166501","34.6754502042612","34.9481273056998","35.0564608295261"
"SID31871","SZAXPI015250.39","CRC_MR_SBJ68H_17","CCMD37575804ST.11.0","CRC_MR_SBJ34H_17","CCIS94603952ST.4.0","CRC_MR_SBJ79H_17","CCIS45793747ST.4.0","DRR127634","SID31557","19.1680103650718","23.3102395609526","26.0745334760298","29.206824525482","29.4671290910109","29.516014725469","30.1787385995257","30.2860038281728","30.602961704621","DRR127767","SID530890","CRC_MR_SBJ10C_17","SZAXPI003411.6","CRC_MR_SBJ50C_17","SZAXPI017458.25","MMRS93508324ST.27.0.0","SZAXPI015218.16","CCIS81887263ST.4.0","21.1251928906389","24.0562980817311","26.3776412068612","27.509224030821","29.2467196416282","30.1040163554533","31.8906184818984","32.0083590498794","32.2281279073296"
"SID31876","CCMD15562448ST.11.0","SID31700","CCMD25475945ST.11.0","CRC_MR_SBJ79H_17","SID530315","SZAXPI015268.109","CRC_MR_SBJ34H_17","DRR127649","CCIS45793747ST.4.0","21.8026410737828","21.8806724204719","23.9482435357418","24.2787952123123","24.3108545988906","24.8206964993209","25.9098820669296","26.2365169312144","26.2570087510402","SZAXPI003426.11","CRC_MR_SBJ61C_17","DRR127476","CCIS11015875ST.4.0","LILT_VF234_T017","SZAXPI015218.16","SID530890","MMRS14602194ST.27.0.0","CCIS53043478ST.4.0","17.7874716170877","21.7410806607146","21.9004454974596","23.2826772422439","23.9645977868939","24.832726097827","24.9319455982681","25.0055321857104","25.0098977025497"
"SID530890","CCIS45793747ST.4.0","CRC_MR_SBJ34H_17","SID532802","CCIS02124300ST.4.0","CCIS94603952ST.4.0","CRC_MR_SBJ73H_17","CRC_MR_SBJ79H_17","CCMD37575804ST.11.0","CRC_MR_SBJ18H_17","14.9065823504451","16.1238348922209","17.4512922857277","18.8294265473248","18.9362392032684","19.3544128797957","20.2129680455345","20.8069718105374","21.2141027697355","CRC_MR_SBJ10C_17","SZAXPI017458.25","CCIS11015875ST.4.0","DRR127485","SID531277","MMRS14602194ST.27.0.0","CCIS48725289ST.4.0","SZAXPI017586.111","CCIS53043478ST.4.0","17.9291200222933","18.544257801883","18.6242579101155","18.9055961847994","19.1264860841975","20.321041591636","20.4758058150613","20.6842005089634","20.9674486698406"
