"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"DRR127669","CCIS32452666ST.4.0","MMRS91297590ST.27.0.0","CRC_MR_SBJ16H_17","CCIS07539127ST.4.0","CCIS94417875ST.3.0","32.6870481273853","32.6957318316994","33.0872267608438","33.4615882950152","34.4815273093609","MMRS64281211ST.27.0.0","SZAXPI017454.20","CCMD49461418ST.11.0","SID31446","MMRS43939546ST.27.0.0","18.4508411569175","31.7528491813695","32.1687924065856","32.8769887455238","33.2057196972088"
"DRR127700","CCIS94417875ST.3.0","CCIS07539127ST.4.0","LILT_VF265_T016","MMRS95277876ST.27.0.0","CCIS79210440ST.3.0","31.3666595890972","31.8714795078107","33.7704207520679","33.9194176729554","34.0340509153039","DRR127515","SZAXPI017454.20","CRC_MR_SBJ32C_17","LILT_VF192_T017","MMRS80093644ST.27.0.0","30.983141947919","32.0763100730477","32.5886977249889","33.281447488314","33.3235619951544"
"LILT_VF192_T017","CCIS94417875ST.3.0","MMRS95277876ST.27.0.0","CCIS07539127ST.4.0","CCIS79210440ST.3.0","CRC_MR_SBJ16H_17","17.53579748943","20.7874381733633","22.6299423921273","23.0471943397824","23.6509195715727","SZAXPI017454.20","CRC_MR_SBJ32C_17","CRC_MR_SBJ51C_17","DRR127515","MMRS80093644ST.27.0.0","21.6039826229818","23.5306036026937","24.3224278914955","24.5049121104341","25.2279240244476"
"MMRS41711735ST.27.0.0","SZAXPI015238.24","CCIS79210440ST.3.0","CCIS32452666ST.4.0","CRC_MR_SBJ16H_17","CCIS07539127ST.4.0","24.4260021909747","32.4601383603921","39.2306106736742","39.7219124584391","40.2178943612007","SZAXPI017595.169","SID31446","SZAXPI015218.16","MMRS43939546ST.27.0.0","SZAXPI017454.20","21.1613671687819","32.7527138722381","37.3568654639345","38.5859932610708","38.8675380240118"
"MMRS43939546ST.27.0.0","CCMD39157124ST.11.0","CRC_MR_SBJ16H_17","CCIS32452666ST.4.0","MMRS95277876ST.27.0.0","MMRS91297590ST.27.0.0","22.1406537167605","22.3470029621312","22.4203280494644","22.9176465584863","24.5530754811327","CCMD49461418ST.11.0","CRC_MR_SBJ32C_17","SID31877","CCIS02379307ST.4.0","SID531416","21.3860311422152","23.5485922020659","23.7493879307068","24.4661300573855","24.7883614403312"
"MMRS55294627ST.27.0.0","CCIS07539127ST.4.0","CRC_MR_SBJ16H_17","CCIS94417875ST.3.0","MMRS95277876ST.27.0.0","MMRS25211151ST.27.0.0","18.6603807782585","21.6721867201305","21.8766799462921","23.7785924305161","23.7799750375353","SZAXPI015218.16","CCIS02379307ST.4.0","SID31877","SZAXPI017454.20","CRC_MR_SBJ32C_17","14.7108365419306","19.1754969132484","21.7832528254735","21.9823811648352","23.6774699241262"
"MMRS77487595ST.27.0.0","MMRS34569532ST.27.0.0","CCIS32452666ST.4.0","CCIS94417875ST.3.0","CCIS07539127ST.4.0","MMRS95277876ST.27.0.0","15.626953404202","24.8312148235482","31.1154137965768","32.0860700560742","32.1603459640642","SID31188","CRC_MR_SBJ32C_17","SZAXPI017454.20","DRR127515","LILT_VF192_T017","19.7544761245192","32.3243826477351","33.4510135291175","33.459435405921","33.579547746956"
"MMRS80093644ST.27.0.0","LILT_VF265_T016","CCIS07539127ST.4.0","CCIS94417875ST.3.0","CCIS79210440ST.3.0","CRC_MR_SBJ16H_17","24.026766044314","25.3934944840465","25.8485375638468","26.2724564512114","28.1990653382856","DRR127515","SZAXPI017454.20","SZAXPI015218.16","LILT_VF192_T017","CRC_MR_SBJ32C_17","17.9606325607257","23.2050653649629","23.6755072312274","25.2279240244476","25.864735932466"
"SID31188","MMRS34569532ST.27.0.0","CCIS32452666ST.4.0","MMRS65742083ST.27.0.0","CCIS74239020ST.4.0","CCIS94417875ST.3.0","20.6884118032318","27.6758747106898","30.6869863589568","32.3209468066191","33.1394316539889","MMRS77487595ST.27.0.0","CRC_MR_SBJ51C_17","CRC_MR_SBJ32C_17","SZAXPI017454.20","SZAXPI015218.16","19.7544761245192","32.5822744764527","33.6622331553152","33.8419458290418","35.6199774699999"
"SID31446","CCIS79210440ST.3.0","CCIS07539127ST.4.0","SID31360","CRC_MR_SBJ16H_17","CCIS94417875ST.3.0","24.9281858588887","26.0397156811283","27.8667851873265","27.9947172542857","28.9556171250157","SZAXPI017454.20","SZAXPI015218.16","DRR127515","CCIS02379307ST.4.0","MMRS55294627ST.27.0.0","24.3535836741597","25.5266570966392","27.4180030391511","27.470612781305","27.5840858952658"
"SID31877","CCIS07539127ST.4.0","CRC_MR_SBJ16H_17","CCIS94417875ST.3.0","MMRS91297590ST.27.0.0","MMRS95277876ST.27.0.0","20.874928232406","21.4018199503664","21.5379425782176","21.8928667355465","23.5046723733665","CCIS02379307ST.4.0","CCMD49461418ST.11.0","MMRS55294627ST.27.0.0","SZAXPI015218.16","CRC_MR_SBJ32C_17","20.3847234906854","21.2994728853134","21.7832528254735","22.6878998560797","22.6906188990737"
"SID531416","SID31360","CCIS32452666ST.4.0","CCIS94417875ST.3.0","CRC_MR_SBJ16H_17","CCIS82944710ST.20.0","19.9291285136154","21.4048313584831","25.3301524274075","25.5990120688006","25.6034927650995","MMRS55294627ST.27.0.0","MMRS43939546ST.27.0.0","SZAXPI015218.16","SZAXPI017454.20","CRC_MR_SBJ32C_17","24.7223205996605","24.7883614403312","25.4380659334549","25.5966722983575","25.8633710657273"
"SZAXPI003420.4","MMRS64281551ST.27.0.0","CCMD29706695ST.11.0","DRR127524","CCIS07539127ST.4.0","CCIS94417875ST.3.0","31.0120134369328","31.4692411129566","35.3452248273045","37.1474847990507","37.3504217996745","SZAXPI015226.14","SZAXPI017454.20","SZAXPI015218.16","SZAXPI003427.1","MMRS55294627ST.27.0.0","24.2404487141245","35.4771287084961","36.4823511375994","37.1407332477699","38.3963230410062"
"SZAXPI015218.16","CCIS07539127ST.4.0","CRC_MR_SBJ16H_17","CCIS94417875ST.3.0","MMRS95277876ST.27.0.0","LILT_VF189_T016","17.8365945481305","19.0662655327256","20.3320466045477","22.0837744673097","22.1451665615118","MMRS55294627ST.27.0.0","SZAXPI017454.20","CRC_MR_SBJ32C_17","DRR127515","CCIS02379307ST.4.0","14.7108365419306","19.5915140168007","19.7589158721652","20.0740464712349","21.0749439607037"
"SZAXPI015226.14","MMRS64281551ST.27.0.0","CCMD29706695ST.11.0","CCIS07539127ST.4.0","DRR127524","CCIS79210440ST.3.0","23.669825247703","23.7688155902161","29.5918167547685","29.864094650811","30.4154586865939","SZAXPI003420.4","SZAXPI015218.16","SZAXPI003427.1","SZAXPI017454.20","MMRS55294627ST.27.0.0","24.2404487141245","28.2375834627328","28.4258869072242","28.6447612861322","30.4030911778326"
"SZAXPI017454.20","CCIS07539127ST.4.0","CCIS94417875ST.3.0","CCIS79210440ST.3.0","CRC_MR_SBJ16H_17","CCIS32452666ST.4.0","18.8461776934184","19.9108947775985","21.4557600825093","22.0499907602044","22.7427667630744","SZAXPI015218.16","CRC_MR_SBJ32C_17","LILT_VF192_T017","MMRS55294627ST.27.0.0","DRR127515","19.5915140168007","21.2924221284099","21.6039826229818","21.9823811648352","22.4406459625386"
"SZAXPI017595.169","SZAXPI015238.24","CCIS79210440ST.3.0","CCIS07539127ST.4.0","CRC_MR_SBJ16H_17","CCIS94417875ST.3.0","24.2737742071047","34.7227793819331","42.1160689764287","42.6592506601897","42.8833589180092","MMRS41711735ST.27.0.0","SID31446","LILT_VF216_T017","SZAXPI017454.20","SZAXPI015218.16","21.1613671687819","31.5368772786194","36.5920462191116","38.1997416551238","39.5328013969805"
