"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57"
"CCIS20795251ST.4.0","SZAXPI015249.37","CRC_MR_SBJ57H_17","SID530258","CCIS64785924ST.20.0","CCIS05314658ST.4.0","DRR127537","CCMD89107682ST.11.0","SID530368","SID31452","SID31537","MMRS67096717ST.27.0.0","SID530055","CCIS27927933ST.4.0","CRC_MR_SBJ16H_17","21.1123565274604","23.4288669842846","26.5223672677026","27.0247463851208","27.7706761713358","28.2052944180858","28.302760438588","28.7279635049284","28.9814793519603","29.6487268735067","30.506644195742","30.955509345291","30.996752401963","31.9038378610051","CRC_MR_SBJ50C_17","CCIS47284573ST.4.0","CRC_MR_SBJ64C_17","SZAXPI003435.11","SID31871","CCIS53355328ST.4.0","CCIS11015875ST.4.0","SID530890","CCMD98531134ST.11.0","SZAXPI015223.158","CRC_MR_SBJ04C_17","CCMD46222674ST.21.0","SID31489","SID531352","25.2613346039694","25.6805220916515","29.058033309295","29.3084766698271","29.4310714274506","29.5211636500359","29.7546308722407","30.32491132821","30.9020282357437","31.8635370363398","32.0134590603687","32.1234607279866","32.9520906729543","33.0700068533997"
"CCIS23164343ST.4.0","CCIS27304052ST.3.0","SZAXPI017592.142","CCIS02856720ST.4.0","CCIS78100604ST.4.0","SZAXPI015262.79","CCIS11354283ST.4.0","SID530258","CRC_MR_SBJ57H_17","SID31537","SID530331","SID31452","CCIS82944710ST.20.0","CCIS64785924ST.20.0","CCIS50003399ST.4.0","20.247438082355","20.7002642272098","22.4366154098808","22.9717254557837","23.4089058999454","23.6946202536377","24.4657592501929","24.7109712241547","25.0714006614688","25.7092728476244","26.6472958693223","26.7079433600586","26.9947764594153","27.7508623451705","CRC_MR_SBJ55C_17","SID31489","CRC_MR_SBJ64C_17","CCMD98531134ST.11.0","CRC_MR_SBJ50C_17","SZAXPI015216.169","SID530890","CCIS53355328ST.4.0","SZAXPI017456.23","CRC_MR_SBJ04C_17","SID31285","CRC_MR_SBJ02C_17","SZAXPI015223.158","CCIS82146115ST.4.0","14.8258380473213","17.4900418341895","23.577034189062","24.656208951029","26.343073967398","26.8384755317827","26.9065135491557","27.0191504925691","27.2430484890715","27.4344543454504","29.2387587112278","29.5606942544065","30.1304166059233","30.376051982175"
"CCIS27304052ST.3.0","CCIS02856720ST.4.0","SZAXPI015262.79","CCIS11354283ST.4.0","CCIS23164343ST.4.0","CCIS78100604ST.4.0","CRC_MR_SBJ57H_17","CCIS32452666ST.4.0","CCMD53508245ST.11.0","CCIS50471204ST.4.0","SID530258","CCIS02124300ST.4.0","SID31452","SID530331","SID31328","19.6170330595098","19.6945517975073","20.12913257257","20.247438082355","20.2613160048626","20.8028574116298","22.4971071422817","22.637461440791","22.9349646016971","23.0335623848331","23.4753451505021","23.772168502175","24.2663247610758","24.5463058406535","CRC_MR_SBJ55C_17","SID31489","MMRS96422329ST.27.0.0","CCMD98531134ST.11.0","CRC_MR_SBJ64C_17","SID530890","CCIS53355328ST.4.0","SZAXPI015216.169","CCIS47284573ST.4.0","SID531352","CRC_MR_SBJ04C_17","CCMD13934959ST.21.0","CCMD52145360ST.11.0","CCIS62605362ST.3.0","19.1353497192343","20.827771527984","21.5554358885479","22.0170987685435","22.392518950788","22.7272467456421","22.883422827027","23.1903503382485","23.5748026699504","23.6977456166995","24.0389596336489","24.3331304089199","24.7040429752298","25.0969860211241"
"CCIS29210128ST.4.0","MMRS57569834ST.27.0.0","CRC_MR_SBJ18H_17","SZAXPI003433.7","CCMD54057834ST.11.0","SZAXPI015273.95","MMRS68630931ST.27.0.0","SZAXPI003429.3","CCIS50471204ST.4.0","SZAXPI015259.62","CCIS05314658ST.4.0","SZAXPI015256.47","MMRS11932626ST.27.0.0","CCIS48174381ST.4.0","SZAXPI015261.75","24.7770020123743","25.1070933328651","25.6063470157518","25.7568950652015","26.4531144362682","26.9754243673737","27.6793626111549","27.9827951905077","28.9365177997025","29.1951654175944","29.5146976393491","29.5725697277697","29.6192943110939","29.7395040318177","SZAXPI017587.113","SZAXPI003422.11","CRC_MR_SBJ31C_17","CCMD14479708ST.21.0","SZAXPI017454.20","SZAXPI017461.32","SZAXPI015215.20","MMRS96422329ST.27.0.0","CCIS47284573ST.4.0","MMRS15137911ST.27.0.0","SID530890","CCIS53355328ST.4.0","CCMD63399960ST.21.0","CCIS11015875ST.4.0","21.6886640793457","23.4556553315634","24.7080970720228","26.1450510651175","26.7895955887934","27.045749518196","27.408325303878","27.7325231303519","28.1864450916092","28.4671771109027","28.6747401782632","28.7899415102028","29.0761465522961","29.5179886408373"
"CCIS32452666ST.4.0","CCIS95409808ST.4.0","CCIS50471204ST.4.0","CCIS11354283ST.4.0","CCIS02856720ST.4.0","SZAXPI015227.13","SID532802","CCMD18579000ST.11.0","SID31328","CRC_MR_SBJ74H_17","CCIS02124300ST.4.0","SZAXPI015253.44","CCMD53508245ST.11.0","MMRS38954404ST.27.0.0","CCIS94603952ST.4.0","16.5712636685951","17.2630257895886","17.6176063462322","18.2185148497785","18.3886784653003","18.8778057789908","19.012541785035","19.5338051385438","20.4748703574894","20.6912410250642","20.806106500446","20.9518396391486","21.0939943543796","21.1778141690921","MMRS85382779ST.27.0.0","SID530890","CCMD13934959ST.21.0","MMRS96422329ST.27.0.0","CCIS11015875ST.4.0","CRC_MR_SBJ02C_17","CCMD52145360ST.11.0","CCMD63399960ST.21.0","CRC_MR_SBJ04C_17","CCIS48725289ST.4.0","CCMD95433940ST.21.0","CCIS82146115ST.4.0","SZAXPI017586.111","CCMD46222674ST.21.0","15.4180108760923","17.398109404898","18.2325863918699","19.6132996086278","19.6604917898231","19.6622385719989","20.0070995576545","20.5093514094839","20.5737954005939","20.6809049691183","20.9027864077256","21.2336655237173","21.8264717388221","22.0178727147038"
"CCIS36797902ST.4.0","CCMD54057834ST.11.0","CCIS16326685ST.4.0","SZAXPI015244.32","CCIS94417875ST.3.0","CCIS05314658ST.4.0","MMRS11932626ST.27.0.0","LILT_VF31_16","LILT_VF259_T016","CCMD56948710ST.11.0","CCIS48174381ST.4.0","CRC_MR_SBJ18H_17","SID530364","CCIS07648107ST.4.0","CCMD18579000ST.11.0","19.7738357718451","20.74227659454","24.4447019836385","24.6443658997914","24.717969745685","24.9005958636957","25.5152871313003","25.5826007917022","25.7926234793419","25.8731153026515","25.9979665507728","26.0496976347807","26.1368244803094","26.3668479661203","SZAXPI015225.18","SZAXPI017454.20","SZAXPI003413.4","CCMD82866709ST.21.0","DRR127720","MMRS15137911ST.27.0.0","LILT_VF192_T017","MMRS72802364ST.27.0.0","SZAXPI017453.19","CCIS47284573ST.4.0","LILT_VF120_16","CCMD14479708ST.21.0","LILT_VF29_16","CCIS62794166ST.4.0","20.604399085091","20.6437153972583","20.9881180749847","21.9540996719018","22.4195135049447","22.8285782026827","23.0145697908933","23.3450331488627","23.515704305419","23.609334627507","23.6937633734048","23.937973976402","24.1073339503729","24.2841363970659"
"CCIS44093303ST.4.0","CCMD54057834ST.11.0","SZAXPI003433.7","CCIS79210440ST.3.0","LILT_VF259_T016","MMRS73787048ST.27.0.0","CCIS50471204ST.4.0","CRC_MR_SBJ18H_17","SZAXPI015268.109","SZAXPI015244.32","CCIS07648107ST.4.0","MMRS11932626ST.27.0.0","DRR127707","CRC_MR_SBJ77H_17","CCIS48174381ST.4.0","25.8825335681034","28.4862033603585","28.8228910742052","29.0038470039769","29.2319340642302","29.3793691444541","29.4618318498019","29.9690593513527","30.0162569058036","30.031747038882","30.0909320754243","30.2848575859868","30.5068856166227","30.6204579650011","SZAXPI017454.20","CCIS50148151ST.4.0","CCIS62794166ST.4.0","MMRS15137911ST.27.0.0","SID31446","CCIS87605453ST.4.0","MMRS72980899ST.27.0.0","SZAXPI003422.11","MMRS72802364ST.27.0.0","CCMD13071240ST.21.0","SZAXPI017461.32","DRR162779","CCIS02379307ST.4.0","CCMD88272491ST.21.0","26.4047281549252","27.1638039989965","27.6350191757596","27.6427507904821","27.6853944057476","27.8852141963479","28.4196874024839","28.5864152318702","28.8478044350796","29.1722436916052","29.6480689033468","29.7535380731586","29.7674349921857","29.8007373821471"
"CCIS48174381ST.4.0","CCMD54057834ST.11.0","MMRS73787048ST.27.0.0","CCIS07648107ST.4.0","CCIS05314658ST.4.0","CRC_MR_SBJ18H_17","SZAXPI015244.32","MMRS11932626ST.27.0.0","SZAXPI015253.44","SID31328","CCIS50471204ST.4.0","CRC_MR_SBJ82H_17","CRC_MR_SBJ16H_17","SZAXPI015271.93","CCIS79210440ST.3.0","20.6279233000756","22.1615828806586","22.3267668249436","22.9128627041123","23.71197008676","23.8234796187375","23.9729928076534","24.1479968323959","24.3237154282503","24.3460933204673","24.5991319251168","25.2891809922623","25.3402066963275","25.5375076405412","SID31004","SZAXPI017454.20","CRC_MR_SBJ11C_17","SID31446","MMRS72802364ST.27.0.0","CCMD63399960ST.21.0","CCIS62794166ST.4.0","CCIS50148151ST.4.0","CRC_MR_SBJ32C_17","MMRS93508324ST.27.0.0","CCIS47284573ST.4.0","CCIS62605362ST.3.0","CCIS48725289ST.4.0","CCIS11015875ST.4.0","17.5567713015321","20.5306702626169","22.1380928599936","22.9195315801262","23.4309788585454","23.945031439687","24.1325216944604","24.1579640763062","24.1632565113128","24.3859867260605","25.1011768233025","25.1841584838188","25.3578918501677","25.4772842703103"
"CCIS50471204ST.4.0","CCIS11354283ST.4.0","SID31328","CCIS02856720ST.4.0","CCIS32452666ST.4.0","MMRS11932626ST.27.0.0","MMRS73787048ST.27.0.0","CCIS02124300ST.4.0","CCMD18579000ST.11.0","SZAXPI015227.13","SID532802","CCIS05314658ST.4.0","CRC_MR_SBJ74H_17","SZAXPI015253.44","CCMD53508245ST.11.0","14.6001451500798","15.5457124758758","16.3582235574955","17.2630257895886","17.8407693350175","18.5426362798821","18.8578999503577","19.1423266830002","19.2269018707279","19.3329775743495","19.4838848136248","19.5279569196012","20.0306485803655","20.042792295566","SID530890","CCMD13934959ST.21.0","CCIS82146115ST.4.0","CCIS11015875ST.4.0","CCIS48725289ST.4.0","CCMD63399960ST.21.0","CRC_MR_SBJ04C_17","CRC_MR_SBJ02C_17","MMRS93508324ST.27.0.0","MMRS96422329ST.27.0.0","CCIS47284573ST.4.0","MMRS15137911ST.27.0.0","CCMD52145360ST.11.0","SZAXPI017586.111","14.693970180438","17.2244962582654","17.4956805314026","17.6447593836385","18.2985818800064","18.3215897276383","18.7456928835053","18.8649131886685","19.167246493529","19.5096697962677","19.6008489936686","19.8937001184244","20.4823997390076","20.5564733653951"
"CCIS63468405ST.4.0","CCIS82507866ST.3.0","CCIS32452666ST.4.0","SZAXPI015244.32","MMRS38954404ST.27.0.0","CCIS95409808ST.4.0","CCMD39882286ST.11.0","MMRS65742083ST.27.0.0","CCMD54057834ST.11.0","CCIS79210440ST.3.0","MMRS38861560ST.27.0.0","CCIS74239020ST.4.0","CCMD85481373ST.11.0","CCMD56948710ST.11.0","CCIS05314658ST.4.0","24.381834812569","27.0791204010488","27.5304806522625","27.7361083773463","27.7447822033441","29.1508697170428","29.8144771811531","29.8324241803746","29.8345015108498","29.8956732125102","30.7403949659597","31.1955961837677","31.8721406633411","32.2162050914583","MMRS85382779ST.27.0.0","MMRS77487595ST.27.0.0","CCMD23101338ST.21.0","CCIS61287323ST.4.0","SID31883","MMRS54316675ST.27.0.0","MMRS72802364ST.27.0.0","SID31876","CCIS62794166ST.4.0","SZAXPI017454.20","SID31446","SZAXPI017593.158","MMRS93508324ST.27.0.0","CCMD63399960ST.21.0","23.4003139174115","23.904809019691","25.5931314636349","27.2825305413483","28.0805513021896","29.0977451035299","29.3148817912541","29.990926960661","30.5336563232313","30.6628318993354","31.1855999418642","31.2319240370522","31.3928224241498","31.4223281975795"
"CCIS64785924ST.20.0","SID31537","SID530258","SID31452","CCIS78100604ST.4.0","CRC_MR_SBJ57H_17","SZAXPI015262.79","CCIS27304052ST.3.0","CCIS11354283ST.4.0","SZAXPI017592.142","SZAXPI015249.37","CCIS02856720ST.4.0","CCIS81139242ST.4.0","CCIS23164343ST.4.0","CCIS20795251ST.4.0","17.0678570251482","20.372371216611","21.7303423781495","22.4771519565024","24.0414077601791","24.5263560755955","24.5986902144403","25.1191529690772","25.3418830973963","26.3745029056492","26.4919482765028","26.5656829815629","26.9947764594153","27.0247463851208","CRC_MR_SBJ50C_17","CRC_MR_SBJ64C_17","CCIS53355328ST.4.0","SID31489","SZAXPI015216.169","CRC_MR_SBJ55C_17","CCMD98531134ST.11.0","SID530890","CCIS47284573ST.4.0","SZAXPI017581.93","SZAXPI017453.19","SZAXPI017456.23","SID31285","SZAXPI003435.11","19.2157930114841","20.9485762736994","21.1644273448185","21.2280145890543","23.1706643655917","23.6464137236157","24.8342903081284","26.0006578900477","26.2259479148552","26.6065951281651","27.4719375949968","28.0767274090215","28.2319606282383","28.6358316328459"
"CCIS74239020ST.4.0","SID31328","CCIS32452666ST.4.0","SZAXPI015271.93","CRC_MR_SBJ78H_17","CCIS81139242ST.4.0","CCIS11354283ST.4.0","CCIS05314658ST.4.0","CCIS50471204ST.4.0","SZAXPI015230.16","CCIS50003399ST.4.0","SID31750","CCIS02124300ST.4.0","CCMD54057834ST.11.0","SZAXPI015227.13","21.702475525398","22.2011884855721","22.8575414755612","22.9238486975268","24.1055295425655","24.1637749346061","24.2374527374949","24.3858004079772","24.6776093083953","24.8274179499359","25.0018687907624","25.0336170852556","25.2978701418123","25.5093240673347","SID530890","SID31875","CCMD63399960ST.21.0","MMRS85382779ST.27.0.0","CCIS47284573ST.4.0","SID31004","CCMD46222674ST.21.0","CCIS62605362ST.3.0","CRC_MR_SBJ04C_17","MMRS93508324ST.27.0.0","SZAXPI017586.111","SZAXPI015223.158","CRC_MR_SBJ64C_17","SZAXPI017594.166","20.8637653976529","22.6857060151233","22.9678982906883","23.5810560722416","24.65268623796","24.8056684000674","24.8236623991666","25.0835323350979","25.2312377262868","25.2320391566239","25.4143662543511","25.5694492455332","25.6040071574783","25.6561851443721"
"CCIS78100604ST.4.0","SZAXPI015262.79","SZAXPI017592.142","CCIS27304052ST.3.0","SID530258","CCIS81139242ST.4.0","CCIS02856720ST.4.0","CCIS11354283ST.4.0","CCIS64785924ST.20.0","SID31537","CCIS23164343ST.4.0","CCIS50003399ST.4.0","CCIS50471204ST.4.0","CRC_MR_SBJ57H_17","SID31452","17.1709498844706","19.8837042285687","20.2613160048626","20.9786391700868","21.4268815850184","22.1287006257304","22.2526309112878","22.4771519565024","22.8542608373187","22.9717254557837","23.2869449226922","25.3034736027724","25.706757495785","25.7236555374173","SID31489","CRC_MR_SBJ64C_17","CRC_MR_SBJ55C_17","CRC_MR_SBJ50C_17","CCMD98531134ST.11.0","SID530890","SZAXPI015216.169","CCIS53355328ST.4.0","SZAXPI017456.23","CCIS47284573ST.4.0","SID31285","SZAXPI015223.158","SID531352","MMRS96422329ST.27.0.0","17.320373234512","17.8032707965166","19.8309082250183","20.9598943564251","21.2385674575264","22.6849947596644","23.0806641974402","23.4028006777437","24.1034498065609","24.9450233027231","26.040581978391","26.2588449780107","26.3957429993721","26.5609550030755"
