"AUC","Study","RepeatTimes","Fold","FeatureCount"
0.892561983471074,"VogtmannE_2016",9,4,50
0.886363636363636,"VogtmannE_2016",9,3,50
0.4,"VogtmannE_2016",9,2,50
0.686363636363636,"VogtmannE_2016",9,1,50
0.94,"VogtmannE_2016",8,5,50
0.865,"VogtmannE_2016",8,4,50
0.918181818181818,"VogtmannE_2016",8,3,50
0.863636363636364,"VogtmannE_2016",8,2,50
0.79,"VogtmannE_2016",8,1,50
0.827272727272727,"VogtmannE_2016",7,5,50
0.804545454545455,"VogtmannE_2016",7,4,50
0.854545454545454,"VogtmannE_2016",7,3,50
0.940909090909091,"VogtmannE_2016",7,2,50
0.855371900826446,"VogtmannE_2016",7,1,50
0.85,"VogtmannE_2016",6,5,50
0.881818181818182,"VogtmannE_2016",6,4,50
0.78,"VogtmannE_2016",6,3,50
0.718181818181818,"VogtmannE_2016",6,2,50
0.84,"VogtmannE_2016",6,1,50
0.851239669421488,"VogtmannE_2016",5,5,50
0.822314049586777,"VogtmannE_2016",5,4,50
0.859504132231405,"VogtmannE_2016",5,3,50
0.790909090909091,"VogtmannE_2016",5,2,50
0.954545454545454,"VogtmannE_2016",5,1,50
0.89,"VogtmannE_2016",4,5,50
0.64,"VogtmannE_2016",4,4,50
0.619834710743802,"VogtmannE_2016",4,3,50
0.75,"VogtmannE_2016",4,2,50
0.76,"VogtmannE_2016",4,1,50
0.9,"VogtmannE_2016",3,5,50
0.9,"VogtmannE_2016",3,4,50
0.963636363636364,"VogtmannE_2016",3,3,50
0.87603305785124,"VogtmannE_2016",3,2,50
0.818181818181818,"VogtmannE_2016",3,1,50
0.745454545454545,"VogtmannE_2016",2,5,50
0.881818181818182,"VogtmannE_2016",2,4,50
0.93,"VogtmannE_2016",2,3,50
0.88,"VogtmannE_2016",2,2,50
0.872727272727273,"VogtmannE_2016",2,1,50
0.82,"VogtmannE_2016",1,5,50
0.927272727272727,"VogtmannE_2016",1,4,50
0.790909090909091,"VogtmannE_2016",1,3,50
0.663636363636364,"VogtmannE_2016",1,2,50
0.785123966942149,"VogtmannE_2016",1,1,50
0.857142857142857,"ThomasAM_2018b",10,5,50
1,"ThomasAM_2018b",10,4,50
0.657142857142857,"ThomasAM_2018b",10,3,50
0.880952380952381,"ThomasAM_2018b",10,2,50
1,"ThomasAM_2018b",10,1,50
1,"ThomasAM_2018b",9,5,50
0.930555555555556,"ThomasAM_2018b",9,4,50
0.8,"ThomasAM_2018b",9,3,50
0.966666666666667,"ThomasAM_2018b",9,2,50
0.777777777777778,"ThomasAM_2018b",9,1,50
0.766666666666667,"ThomasAM_2018b",8,5,50
0.828571428571429,"ThomasAM_2018b",8,4,50
1,"ThomasAM_2018b",8,3,50
1,"ThomasAM_2018b",8,2,50
0.785714285714286,"ThomasAM_2018b",8,1,50
0.976190476190476,"ThomasAM_2018b",7,5,50
0.880952380952381,"ThomasAM_2018b",7,4,50
0.933333333333333,"ThomasAM_2018b",7,3,50
0.805555555555556,"ThomasAM_2018b",7,2,50
0.880952380952381,"ThomasAM_2018b",7,1,50
0.828571428571429,"ThomasAM_2018b",6,5,50
1,"ThomasAM_2018b",6,4,50
0.857142857142857,"ThomasAM_2018b",6,3,50
0.942857142857143,"ThomasAM_2018b",6,2,50
0.866666666666667,"ThomasAM_2018b",6,1,50
0.861111111111111,"ThomasAM_2018b",5,5,50
0.857142857142857,"ThomasAM_2018b",5,4,50
0.983333333333333,"ThomasAM_2018b",5,3,50
0.833333333333333,"ThomasAM_2018b",5,2,50
0.761904761904762,"ThomasAM_2018b",5,1,50
0.861111111111111,"ThomasAM_2018b",4,5,50
1,"ThomasAM_2018b",4,4,50
1,"ThomasAM_2018b",4,3,50
0.916666666666667,"ThomasAM_2018b",4,2,50
0.866666666666667,"ThomasAM_2018b",4,1,50
0.971428571428571,"ThomasAM_2018b",3,5,50
0.771428571428571,"ThomasAM_2018b",3,4,50
0.933333333333333,"ThomasAM_2018b",3,3,50
0.857142857142857,"ThomasAM_2018b",3,2,50
0.933333333333333,"ThomasAM_2018b",3,1,50
0.904761904761905,"ThomasAM_2018b",2,5,50
0.833333333333333,"ThomasAM_2018b",2,4,50
0.666666666666667,"ThomasAM_2018b",2,3,50
1,"ThomasAM_2018b",2,2,50
1,"ThomasAM_2018b",2,1,50
1,"ThomasAM_2018b",1,5,50
0.694444444444444,"ThomasAM_2018b",1,4,50
0.888888888888889,"ThomasAM_2018b",1,3,50
1,"ThomasAM_2018b",1,2,50
0.861111111111111,"ThomasAM_2018b",1,1,50
0.8,"ThomasAM_2018a",10,5,50
0.75,"ThomasAM_2018a",10,4,50
0.716666666666667,"ThomasAM_2018a",10,3,50
0.85,"ThomasAM_2018a",10,2,50
1,"ThomasAM_2018a",10,1,50
1,"ThomasAM_2018a",9,5,50
0.516666666666667,"ThomasAM_2018a",9,4,50
0.933333333333333,"ThomasAM_2018a",9,3,50
0.583333333333333,"ThomasAM_2018a",9,2,50
0.616666666666667,"ThomasAM_2018a",9,1,50
0.68,"ThomasAM_2018a",8,5,50
0.92,"ThomasAM_2018a",8,4,50
0.96,"ThomasAM_2018a",8,3,50
0.7,"ThomasAM_2018a",8,2,50
0.666666666666667,"ThomasAM_2018a",8,1,50
1,"ThomasAM_2018a",7,5,50
1,"ThomasAM_2018a",7,4,50
0.958333333333333,"ThomasAM_2018a",7,3,50
0.8,"ThomasAM_2018a",7,2,50
0.791666666666667,"ThomasAM_2018a",7,1,50
0.766666666666667,"ThomasAM_2018a",6,5,50
0.766666666666667,"ThomasAM_2018a",6,4,50
0.766666666666667,"ThomasAM_2018a",6,3,50
0.966666666666667,"ThomasAM_2018a",6,2,50
0.958333333333333,"ThomasAM_2018a",6,1,50
0.833333333333333,"ThomasAM_2018a",5,5,50
0.833333333333333,"ThomasAM_2018a",5,4,50
1,"ThomasAM_2018a",5,3,50
0.933333333333333,"ThomasAM_2018a",5,2,50
0.8,"ThomasAM_2018a",5,1,50
0.733333333333333,"ThomasAM_2018a",4,5,50
0.8,"ThomasAM_2018a",4,4,50
0.7,"ThomasAM_2018a",4,3,50
0.666666666666667,"ThomasAM_2018a",4,2,50
0.9,"ThomasAM_2018a",4,1,50
0.733333333333333,"ThomasAM_2018a",3,5,50
0.64,"ThomasAM_2018a",3,4,50
0.866666666666667,"ThomasAM_2018a",3,3,50
0.816666666666667,"ThomasAM_2018a",3,2,50
1,"ThomasAM_2018a",3,1,50
0.625,"ThomasAM_2018a",2,5,50
0.65,"ThomasAM_2018a",2,4,50
0.9,"ThomasAM_2018a",2,3,50
0.933333333333333,"ThomasAM_2018a",2,2,50
0.766666666666667,"ThomasAM_2018a",2,1,50
0.88,"ThomasAM_2018a",1,5,50
0.8,"ThomasAM_2018a",1,4,50
0.88,"ThomasAM_2018a",1,3,50
0.8,"ThomasAM_2018a",1,2,50
0.958333333333333,"ThomasAM_2018a",1,1,50
0.907407407407407,"FengQ_2015",10,5,50
0.816666666666667,"FengQ_2015",10,4,50
0.958333333333333,"FengQ_2015",10,3,50
0.898148148148148,"FengQ_2015",10,2,50
0.925925925925926,"FengQ_2015",10,1,50
1,"FengQ_2015",9,5,50
0.944444444444445,"FengQ_2015",9,4,50
0.87962962962963,"FengQ_2015",9,3,50
0.933333333333333,"FengQ_2015",9,2,50
1,"FengQ_2015",9,1,50
1,"FengQ_2015",8,5,50
0.972222222222222,"FengQ_2015",8,4,50
0.916666666666667,"FengQ_2015",8,3,50
0.825,"FengQ_2015",8,2,50
0.916666666666667,"FengQ_2015",8,1,50
0.991452991452991,"FengQ_2015",7,5,50
1,"FengQ_2015",7,4,50
0.876923076923077,"FengQ_2015",7,3,50
0.990740740740741,"FengQ_2015",7,2,50
0.898148148148148,"FengQ_2015",7,1,50
0.87037037037037,"FengQ_2015",6,5,50
0.74537037037037,"FengQ_2015",6,4,50
1,"FengQ_2015",6,3,50
1,"FengQ_2015",6,2,50
0.731481481481481,"FengQ_2015",6,1,50
1,"FengQ_2015",5,5,50
0.916666666666667,"FengQ_2015",5,4,50
0.975,"FengQ_2015",5,3,50
0.907407407407407,"FengQ_2015",5,2,50
1,"FengQ_2015",5,1,50
0.962962962962963,"FengQ_2015",4,5,50
0.933333333333333,"FengQ_2015",4,4,50
0.820512820512821,"FengQ_2015",4,3,50
0.981481481481482,"FengQ_2015",4,2,50
0.944444444444445,"FengQ_2015",4,1,50
0.958333333333333,"FengQ_2015",3,5,50
1,"FengQ_2015",3,4,50
1,"FengQ_2015",3,3,50
0.893518518518518,"FengQ_2015",3,2,50
0.957264957264957,"FengQ_2015",3,1,50
0.869230769230769,"FengQ_2015",2,5,50
0.925,"FengQ_2015",2,4,50
0.925925925925926,"FengQ_2015",2,3,50
0.851851851851852,"FengQ_2015",2,2,50
1,"FengQ_2015",2,1,50
0.972222222222222,"FengQ_2015",1,5,50
0.966666666666667,"FengQ_2015",1,4,50
0.8875,"FengQ_2015",1,3,50
0.94017094017094,"FengQ_2015",1,2,50
0.953703703703704,"FengQ_2015",1,1,50
0.974358974358974,"PRJEB27928",10,5,40
0.974358974358974,"PRJEB27928",10,4,40
0.974358974358974,"PRJEB27928",10,3,40
0.987179487179487,"PRJEB27928",10,2,40
0.92948717948718,"PRJEB27928",10,1,40
0.967948717948718,"PRJEB27928",9,5,40
0.980769230769231,"PRJEB27928",9,4,40
1,"PRJEB27928",9,3,40
0.980769230769231,"PRJEB27928",9,2,40
0.942307692307692,"PRJEB27928",9,1,40
0.980769230769231,"PRJEB27928",8,5,40
0.987179487179487,"PRJEB27928",8,4,40
0.961538461538462,"PRJEB27928",8,3,40
0.987179487179487,"PRJEB27928",8,2,40
0.878205128205128,"PRJEB27928",8,1,40
0.923076923076923,"PRJEB27928",7,5,40
0.987179487179487,"PRJEB27928",7,4,40
0.923076923076923,"PRJEB27928",7,3,40
0.884615384615385,"PRJEB27928",7,2,40
0.961538461538461,"PRJEB27928",7,1,40
0.903846153846154,"PRJEB27928",6,5,40
1,"PRJEB27928",6,4,40
0.987179487179487,"PRJEB27928",6,3,40
0.935897435897436,"PRJEB27928",6,2,40
0.967948717948718,"PRJEB27928",6,1,40
0.897435897435897,"PRJEB27928",5,5,40
0.955128205128205,"PRJEB27928",5,4,40
0.916666666666667,"PRJEB27928",5,3,40
0.948717948717949,"PRJEB27928",5,2,40
0.929487179487179,"PRJEB27928",5,1,40
0.993589743589744,"PRJEB27928",4,5,40
1,"PRJEB27928",4,4,40
0.891025641025641,"PRJEB27928",4,3,40
0.980769230769231,"PRJEB27928",4,2,40
0.951923076923077,"PRJEB27928",4,1,40
1,"PRJEB27928",3,5,40
1,"PRJEB27928",3,4,40
0.919871794871795,"PRJEB27928",3,3,40
1,"PRJEB27928",3,2,40
1,"PRJEB27928",3,1,40
0.942307692307692,"PRJEB27928",2,5,40
0.980769230769231,"PRJEB27928",2,4,40
1,"PRJEB27928",2,3,40
0.939102564102564,"PRJEB27928",2,2,40
0.980769230769231,"PRJEB27928",2,1,40
0.987179487179487,"PRJEB27928",1,5,40
0.955128205128205,"PRJEB27928",1,4,40
0.974358974358974,"PRJEB27928",1,3,40
0.919871794871795,"PRJEB27928",1,2,40
0.974358974358974,"PRJEB27928",1,1,40
0.9375,"PRJDB4176",10,5,40
0.7421875,"PRJDB4176",10,4,40
0.921875,"PRJDB4176",10,3,40
0.8125,"PRJDB4176",10,2,40
0.875,"PRJDB4176",10,1,40
0.8984375,"PRJDB4176",9,5,40
0.921875,"PRJDB4176",9,4,40
1,"PRJDB4176",9,3,40
0.921875,"PRJDB4176",9,2,40
0.828125,"PRJDB4176",9,1,40
0.8359375,"PRJDB4176",8,5,40
0.96875,"PRJDB4176",8,4,40
0.8203125,"PRJDB4176",8,3,40
0.796875,"PRJDB4176",8,2,40
0.75,"PRJDB4176",8,1,40
0.953125,"PRJDB4176",7,5,40
0.828125,"PRJDB4176",7,4,40
0.8125,"PRJDB4176",7,3,40
0.953125,"PRJDB4176",7,2,40
0.8984375,"PRJDB4176",7,1,40
0.828125,"PRJDB4176",6,5,40
0.875,"PRJDB4176",6,4,40
0.953125,"PRJDB4176",6,3,40
0.9375,"PRJDB4176",6,2,40
0.8125,"PRJDB4176",6,1,40
0.7265625,"PRJDB4176",5,5,40
0.8125,"PRJDB4176",5,4,40
0.78125,"PRJDB4176",5,3,40
0.90625,"PRJDB4176",5,2,40
0.9375,"PRJDB4176",5,1,40
0.9375,"PRJDB4176",4,5,40
0.828125,"PRJDB4176",4,4,40
0.875,"PRJDB4176",4,3,40
1,"PRJDB4176",4,2,40
0.875,"PRJDB4176",4,1,40
1,"PRJDB4176",3,5,40
1,"PRJDB4176",3,4,40
0.734375,"PRJDB4176",3,3,40
0.96875,"PRJDB4176",3,2,40
0.9453125,"PRJDB4176",3,1,40
0.984375,"PRJDB4176",2,5,40
0.96875,"PRJDB4176",2,4,40
0.828125,"PRJDB4176",2,3,40
0.859375,"PRJDB4176",2,2,40
0.84375,"PRJDB4176",2,1,40
0.96875,"PRJDB4176",1,5,40
0.7890625,"PRJDB4176",1,4,40
0.984375,"PRJDB4176",1,3,40
