"Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","Study","RepeatTimes","Fold","FeatureCount"
0.92,0.83974358974359,0.739694157894786,0.990160409981202,0.52,2.22214963931796e-05,1,0.923076923076923,0.916666666666667,0.923076923076923,0.916666666666667,0.923076923076923,0.923076923076923,0.923076923076923,0.52,0.48,0.52,0.919871794871795,"PRJEB27928",6,1,50
0.92,0.83974358974359,0.739694157894786,0.990160409981202,0.52,2.22214963931796e-05,1,0.923076923076923,0.916666666666667,0.923076923076923,0.916666666666667,0.923076923076923,0.923076923076923,0.923076923076923,0.52,0.48,0.52,0.919871794871795,"PRJEB27928",5,5,50
0.88,0.757281553398058,0.687809692713765,0.974534603352267,0.52,0.000165944110604564,0.248213078989924,1,0.75,0.8125,1,0.8125,1,0.896551724137931,0.52,0.52,0.64,0.875,"PRJEB27928",5,4,50
0.88,0.758842443729904,0.687809692713765,0.974534603352267,0.52,0.000165944110604564,1,0.923076923076923,0.833333333333333,0.857142857142857,0.909090909090909,0.857142857142857,0.923076923076923,0.888888888888889,0.52,0.48,0.56,0.878205128205128,"PRJEB27928",5,3,50
0.92,0.838709677419355,0.739694157894786,0.990160409981202,0.52,2.22214963931796e-05,0.479500122186953,1,0.833333333333333,0.866666666666667,1,0.866666666666667,1,0.928571428571429,0.52,0.52,0.6,0.916666666666667,"PRJEB27928",5,2,50
0.84,0.679487179487179,0.639171545540728,0.95462054762829,0.52,0.000895612767370051,1,0.846153846153846,0.833333333333333,0.846153846153846,0.833333333333333,0.846153846153846,0.846153846153846,0.846153846153846,0.52,0.44,0.52,0.83974358974359,"PRJEB27928",5,1,50
0.88,0.76038338658147,0.687809692713765,0.974534603352267,0.52,0.000165944110604564,1,0.846153846153846,0.916666666666667,0.916666666666667,0.846153846153846,0.916666666666667,0.846153846153846,0.88,0.52,0.44,0.48,0.881410256410256,"PRJEB27928",4,5,50
0.88,0.757281553398058,0.687809692713765,0.974534603352267,0.52,0.000165944110604564,0.248213078989924,1,0.75,0.8125,1,0.8125,1,0.896551724137931,0.52,0.52,0.64,0.875,"PRJEB27928",4,4,50
0.92,0.840764331210191,0.739694157894786,0.990160409981202,0.52,2.22214963931796e-05,0.479500122186953,0.846153846153846,1,1,0.857142857142857,1,0.846153846153846,0.916666666666667,0.52,0.44,0.44,0.923076923076923,"PRJEB27928",4,3,50
0.84,0.679487179487179,0.639171545540728,0.95462054762829,0.52,0.000895612767370051,1,0.846153846153846,0.833333333333333,0.846153846153846,0.833333333333333,0.846153846153846,0.846153846153846,0.846153846153846,0.52,0.44,0.52,0.83974358974359,"PRJEB27928",4,2,50
