"","Species","Increasing.Rank.Min","Decreasing.Rank.Min","Increasing.Rank.Max","Decreasing.Rank.Max","Increasing.Rank.Average","Decreasing.Rank.Average","Decre.maxRank.P","Decre.aveRank.P","Decre.minRank.P","Decre.minRank.P.FDR","Decre.maxRank.P.FDR","Decre.aveRank.P.FDR","Incre.aveRank.P","Enriched","Ctrlmean","CRCmean","log2FC","ID","Label","Shape"
"639","Sphingobium_yanoikuyae",1,5032,4970,10001,2485.5,7516.5,1,0.751574842515748,0.503149685031497,0.693554173994365,1,0.920580154822356,0.248525147485251,"N.S.","1.69871794871795e-06","0",-Inf,"","","B"
"640","Spiribacter_unclassified",1,4963,5039,10001,2520,7482,1,0.748125187481252,0.496250374962504,0.693554173994365,1,0.920580154822356,0.251974802519748,"N.S.","3.75320512820513e-05","0",-Inf,"","","B"
"641","Staphylococcus_aureus",8422,1315,8687,1580,8554.5,1447.5,0.157984201579842,0.144735526447355,0.131486851314869,0.293599522035374,0.660410703115735,0.52248100189981,0.855364463553645,"N.S.","0.000180320512820513","0.000633269230769231",1.8122554600018,"","","B"
"642","Staphylococcus_carnosus",4928,1,10001,5074,7464.5,2537.5,0.507349265073493,0.253724627537246,9.99900009999e-05,0.000430495872568432,0.906134139061341,0.579010136960988,0.746375362463754,"N.S.","0","1.18589743589744e-05",Inf,"","","B"
"643","Staphylococcus_epidermidis",5037,2215,7787,4965,6412,3590,0.496450354964504,0.358964103589641,0.221477852214779,0.423517488676664,0.906134139061341,0.719528882766319,0.641135886411359,"N.S.","4.56089743589744e-05","0.00088125",4.27216171962192,"","","B"
"644","Staphylococcus_equorum",790,8623,1379,9212,1084.5,8917.5,0.921107889211079,0.891660833916608,0.862213778622138,0.950815501271959,1,0.977292895710429,0.108439156084392,"N.S.","0.000284455128205128","2.68269230769231e-05",-3.40644759161642,"","","B"
"645","Staphylococcus_haemolyticus",5037,1,10001,4965,7519,2483,0.496450354964504,0.248275172482752,9.99900009999e-05,0.000430495872568432,0.906134139061341,0.579010136960988,0.751824817518248,"N.S.","0","0.001055",Inf,"","","B"
"646","Staphylococcus_saprophyticus",1,5002,5000,10001,2500.5,7501.5,1,0.75007499250075,0.5001499850015,0.693554173994365,1,0.920580154822356,0.25002499750025,"N.S.","0.000220576923076923","0",-Inf,"","","B"
"647","Staphylococcus_vitulinus",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000430495872568432,1,0.77319558366744,0.5000499950005,"N.S.","0","0",NA,"","","B"
"648","Staphylococcus_warneri",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000430495872568432,1,0.77319558366744,0.5000499950005,"N.S.","0","2.81089743589744e-05",Inf,"","","B"
